,secID,ticker,secShortName,exchangeCD,partyID,changeDate,totalShares,sharesA,sharesB,floatA,nonrestfloatA,floatB,restShares,nonrestFloatShares
0,002594.XSHE,002594,比亚迪,XSHE,2073,2016-07-25,2728142900,1813142900,,1813142900,840388300.0,,972754600.0,1755388300
1,002594.XSHE,002594,比亚迪,XSHE,2073,2016-07-01,2476000000,1561000000,,1561000000,796476500.0,,764523500.0,1711476500
2,002594.XSHE,002594,比亚迪,XSHE,2073,2016-06-30,2476000000,1561000000,,1561000000,840388300.0,,720611700.0,1755388300
3,002594.XSHE,002594,比亚迪,XSHE,2073,2015-12-31,2476000000,1561000000,,1561000000,755831000.0,,805169000.0,1670831000
4,002594.XSHE,002594,比亚迪,XSHE,2073,2015-07-01,2476000100,1561000100,,1561000100,746756400.0,,814243700.0,1661756400
5,002594.XSHE,002594,比亚迪,XSHE,2073,2015-06-30,2476000000,1561000000,,1561000000,713410100.0,,847589900.0,1628410100
6,002594.XSHE,002594,比亚迪,XSHE,2073,2014-12-31,2476000000,1561000000,,1561000000,706110900.0,,854889100.0,1621110900
7,002594.XSHE,002594,比亚迪,XSHE,2073,2014-07-01,2476000000,1561000000,,1561000000,692649735.0,,868350265.0,1607649735
8,002594.XSHE,002594,比亚迪,XSHE,2073,2014-06-30,2476000000,1561000000,,1561000000,692649735.0,,868350265.0,1607649735
9,002594.XSHE,002594,比亚迪,XSHE,2073,2014-05-30,2476000000,1561000000,,1561000000,384272435.0,,1176727565.0,1299272435
10,002594.XSHE,002594,比亚迪,XSHE,2073,2013-12-31,2354100000,1561000000,,1561000000,384272435.0,,1176727565.0,1177372435
11,002594.XSHE,002594,比亚迪,XSHE,2073,2013-06-30,2354100000,1561000000,,1561000000,384272435.0,,1176727565.0,1177372435
12,002594.XSHE,002594,比亚迪,XSHE,2073,2012-12-31,2354100000,1561000000,,1561000000,344494515.0,,1216505485.0,1137594515
13,002594.XSHE,002594,比亚迪,XSHE,2073,2012-07-02,2354100000,1561000000,,1561000000,352751615.0,,1208248385.0,1145851615
14,002594.XSHE,002594,比亚迪,XSHE,2073,2012-06-30,2354100000,1561000000,0.0,1561000000,355745950.0,0.0,1205254050.0,1148845950
15,002594.XSHE,002594,比亚迪,XSHE,2073,2011-12-31,2354100000,1561000000,,1561000000,79000000.0,,1482000000.0,872100000
16,002594.XSHE,002594,比亚迪,XSHE,2073,2011-09-30,2354100000,1561000000,,1561000000,79000000.0,,1482000000.0,872100000
17,002594.XSHE,002594,比亚迪,XSHE,2073,2011-06-30,2354100000,1561000000,,1561000000,64000000.0,,1497000000.0,857100000
18,002594.XSHE,002594,比亚迪,XSHE,2073,2011-06-23,2354100000,1561000000,,1561000000,64000000.0,,1497000000.0,857100000
19,002594.XSHE,002594,比亚迪,XSHE,2073,2011-06-08,2275100000,1482000000,0.0,0,0.0,0.0,,793100000
20,002594.XSHE,002594,比亚迪,XSHE,2073,2010-12-31,2275100000,1482000000,,1482000000,,,,793100000
21,002594.XSHE,002594,比亚迪,XSHE,2073,2009-12-31,2275100000,1482000000,,1482000000,,,,793100000
