,tradeDate,secID,ticker,assetClass,exchangeCD,secFullName,currencyCD,tradePrice,tradeVal,tradeVol,buyerBD,sellerBD
0,2012-07-02,002594.XSHE,002594,E,XSHE,比亚迪,CNY,17.87,768.41,43.0,光大证券股份有限公司上海西藏中路证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
1,2012-07-02,002594.XSHE,002594,E,XSHE,比亚迪,CNY,17.87,553.97,31.0,中国国际金融有限公司上海淮海中路证券营业部,中国国际金融有限公司宁波扬帆路证券营业部
2,2012-07-02,002594.XSHE,002594,E,XSHE,比亚迪,CNY,17.87,768.41,43.0,中国国际金融有限公司上海淮海中路证券营业部,中国国际金融有限公司宁波扬帆路证券营业部
3,2012-07-02,002594.XSHE,002594,E,XSHE,比亚迪,CNY,17.87,768.41,43.0,光大证券股份有限公司上海西藏中路证券营业部,中国国际金融有限公司宁波扬帆路证券营业部
4,2012-07-02,002594.XSHE,002594,E,XSHE,比亚迪,CNY,17.87,768.41,43.0,华泰证券股份有限公司上海澳门路证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
5,2012-07-02,002594.XSHE,002594,E,XSHE,比亚迪,CNY,17.87,768.41,43.0,华泰证券股份有限公司上海澳门路证券营业部,中国国际金融有限公司宁波扬帆路证券营业部
6,2012-07-02,002594.XSHE,002594,E,XSHE,比亚迪,CNY,17.87,768.41,43.0,华泰证券股份有限公司北京月坛南街证券营业部,中国国际金融有限公司宁波扬帆路证券营业部
7,2012-07-02,002594.XSHE,002594,E,XSHE,比亚迪,CNY,17.87,768.41,43.0,中国国际金融有限公司深圳福华一路证券营业部,中国国际金融有限公司宁波扬帆路证券营业部
8,2012-07-02,002594.XSHE,002594,E,XSHE,比亚迪,CNY,17.87,768.41,43.0,华泰证券股份有限公司北京月坛南街证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
9,2012-07-03,002594.XSHE,002594,E,XSHE,比亚迪,CNY,18.25,693.5,38.0,中国国际金融有限公司上海淮海中路证券营业部,中国国际金融有限公司宁波扬帆路证券营业部
10,2012-07-03,002594.XSHE,002594,E,XSHE,比亚迪,CNY,18.25,693.5,38.0,中国国际金融有限公司深圳福华一路证券营业部,中国国际金融有限公司宁波扬帆路证券营业部
11,2012-07-03,002594.XSHE,002594,E,XSHE,比亚迪,CNY,18.25,693.5,38.0,中国国际金融有限公司上海淮海中路证券营业部,中国国际金融有限公司宁波扬帆路证券营业部
12,2012-07-03,002594.XSHE,002594,E,XSHE,比亚迪,CNY,18.25,693.5,38.0,中国国际金融有限公司上海淮海中路证券营业部,中国国际金融有限公司宁波扬帆路证券营业部
13,2012-07-03,002594.XSHE,002594,E,XSHE,比亚迪,CNY,18.25,383.25,21.0,光大证券股份有限公司上海西藏中路证券营业部,中国国际金融有限公司宁波扬帆路证券营业部
14,2012-07-03,002594.XSHE,002594,E,XSHE,比亚迪,CNY,18.25,693.5,38.0,光大证券股份有限公司上海西藏中路证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
15,2012-07-03,002594.XSHE,002594,E,XSHE,比亚迪,CNY,18.25,693.5,38.0,中国国际金融有限公司上海淮海中路证券营业部,中国国际金融有限公司宁波扬帆路证券营业部
16,2012-07-03,002594.XSHE,002594,E,XSHE,比亚迪,CNY,18.25,693.5,38.0,光大证券股份有限公司上海西藏中路证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
17,2012-07-03,002594.XSHE,002594,E,XSHE,比亚迪,CNY,18.25,693.5,38.0,光大证券股份有限公司上海西藏中路证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
18,2012-07-06,002594.XSHE,002594,E,XSHE,比亚迪,CNY,18.3,549.0,30.0,华泰证券股份有限公司上海瑞金一路证券营业部,中国国际金融有限公司宁波扬帆路证券营业部
19,2012-07-06,002594.XSHE,002594,E,XSHE,比亚迪,CNY,18.3,549.0,30.0,中信证券股份有限公司上海淮海中路证券营业部,中国国际金融有限公司宁波扬帆路证券营业部
20,2012-07-06,002594.XSHE,002594,E,XSHE,比亚迪,CNY,18.3,549.0,30.0,中国国际金融有限公司深圳福华一路证券营业部,中国国际金融有限公司宁波扬帆路证券营业部
21,2012-07-06,002594.XSHE,002594,E,XSHE,比亚迪,CNY,18.3,549.0,30.0,光大证券股份有限公司上海西藏中路证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
22,2012-07-06,002594.XSHE,002594,E,XSHE,比亚迪,CNY,18.3,366.0,20.0,光大证券股份有限公司上海西藏中路证券营业部,中国国际金融有限公司宁波扬帆路证券营业部
23,2012-07-06,002594.XSHE,002594,E,XSHE,比亚迪,CNY,18.3,549.0,30.0,光大证券股份有限公司上海西藏中路证券营业部,中国国际金融有限公司宁波扬帆路证券营业部
