,secID,ticker,secShortName,tradeDate,inflowS,inflowM,inflowL,inflowXl,outflowS,outflowM,outflowL,outflowXl,netInflowS,netInflowM,netInflowL,netInflowXl
0,002594.XSHE,002594,比亚迪,2016-10-26,49973569.88,2623684.0,0,0,-80868493.65,-23983448.0,-5668264,0,-30894923.77,-21359764.0,-5668264.0,0
1,002594.XSHE,002594,比亚迪,2016-10-25,65469351.698,19592250.0,0,0,-86066143.792,-24597427.0,0,0,-20596792.094,-5005177.0,0.0,0
2,002594.XSHE,002594,比亚迪,2016-10-24,109521072.19,28774599.0,0,12592586,-115338788.51,-40536240.0,-5679406,0,-5817716.32,-11761641.0,-5679406.0,12592586
3,002594.XSHE,002594,比亚迪,2016-10-21,62322020.207,7208000.0,0,0,-86656219.853,-21316660.0,-5627827,0,-24334199.646,-14108660.0,-5627827.0,0
4,002594.XSHE,002594,比亚迪,2016-10-20,61644819.296,21324329.0,0,0,-75718049.964,-47591475.0,0,0,-14073230.668,-26267146.0,0.0,0
5,002594.XSHE,002594,比亚迪,2016-10-19,75191975.081,7749261.0,5003222,0,-95153568.289,-23183703.0,-10820648,0,-19961593.208,-15434442.0,-5817426.0,0
6,002594.XSHE,002594,比亚迪,2016-10-18,129302110.77,17803717.0,18628719,0,-97899766.64,-9370921.0,0,0,31402344.13,8432796.0,18628719.0,0
7,002594.XSHE,002594,比亚迪,2016-10-17,81688941.892,19272806.0,7167131,0,-123749023.808,-24541670.0,0,0,-42060081.916,-5268864.0,7167131.0,0
8,002594.XSHE,002594,比亚迪,2016-10-14,75076848.994,14419372.0,0,0,-88740131.496,-31564063.0,0,0,-13663282.502,-17144691.0,0.0,0
9,002594.XSHE,002594,比亚迪,2016-10-13,91788510.182,15272702.0,0,0,-119697895.248,-29789360.0,0,0,-27909385.066,-14516658.0,0.0,0
10,002594.XSHE,002594,比亚迪,2016-10-12,88442264.165,26003336.0,0,0,-110216912.055,-30302813.0,-22551106,0,-21774647.89,-4299477.0,-22551106.0,0
11,002594.XSHE,002594,比亚迪,2016-10-11,178150720.42,106154893.0,7044781,0,-175589355.457,-54290210.0,0,0,2561364.963,51864683.0,7044781.0,0
12,002594.XSHE,002594,比亚迪,2016-10-10,101356221.34,40495682.0,6793280,0,-77899804.75,-15908428.0,-5590153,0,23456416.59,24587254.0,1203127.0,0
13,002594.XSHE,002594,比亚迪,2016-09-30,91365438.121,16319060.0,0,0,-55335888.829,-3052039.0,0,0,36029549.292,13267021.0,0.0,0
14,002594.XSHE,002594,比亚迪,2016-09-29,68916685.846,18760773.0,0,0,-89786480.464,-15966795.0,0,-10670012,-20869794.618,2793978.0,0.0,-10670012
15,002594.XSHE,002594,比亚迪,2016-09-28,53438042.318,5167449.0,0,0,-46308653.172,-15390666.0,0,0,7129389.146,-10223217.0,0.0,0
16,002594.XSHE,002594,比亚迪,2016-09-27,73795820.876,23498220.0,0,0,-62051344.494,-15645369.0,0,0,11744476.382,7852851.0,0.0,0
17,002594.XSHE,002594,比亚迪,2016-09-26,87354317.196,20373009.0,0,0,-121358346.183,-44555176.0,-5611395,0,-34004028.987,-24182167.0,-5611395.0,0
18,002594.XSHE,002594,比亚迪,2016-09-23,59657789.781,10886196.0,0,0,-56841330.541,-10273472.0,-14240000,0,2816459.24,612724.0,-14240000.0,0
19,002594.XSHE,002594,比亚迪,2016-09-22,118212962.528,33475728.0,5699950,0,-86327254.574,-15319289.0,-6265600,0,31885707.954,18156439.0,-565650.0,0
20,002594.XSHE,002594,比亚迪,2016-09-21,81578671.481,21155726.0,0,0,-69777444.029,-8246849.0,0,0,11801227.452,12908877.0,0.0,0
21,002594.XSHE,002594,比亚迪,2016-09-20,67000944.613,5039294.0,0,0,-66018755.427,-31568243.0,-5119742,0,982189.186,-26528949.0,-5119742.0,0
22,002594.XSHE,002594,比亚迪,2016-09-19,110423151.941,17463539.0,0,0,-75469846.599,-15656526.0,-14127389,0,34953305.342,1807013.0,-14127389.0,0
23,002594.XSHE,002594,比亚迪,2016-09-14,99566518.668,4260672.0,0,0,-127511253.562,-74228818.0,-17556816,-23637998,-27944734.894,-69968146.0,-17556816.0,-23637998
24,002594.XSHE,002594,比亚迪,2016-09-13,125827683.736,11811818.0,0,11457000,-139303132.994,-86267791.0,0,-10611362,-13475449.258,-74455973.0,0.0,845638
25,002594.XSHE,002594,比亚迪,2016-09-12,107790980.29,19960764.0,7374566,0,-143255309.43,-44635783.0,-5266400,0,-35464329.14,-24675019.0,2108166.0,0
26,002594.XSHE,002594,比亚迪,2016-09-09,150110296.927,52925380.0,8791172,0,-140504401.98,-48571982.0,0,0,9605894.947,4353398.0,8791172.0,0
27,002594.XSHE,002594,比亚迪,2016-09-08,71597462.088,16210820.0,0,0,-80718849.772,-22448772.0,0,0,-9121387.684,-6237952.0,0.0,0
28,002594.XSHE,002594,比亚迪,2016-09-07,107873622.349,32810525.0,0,0,-121673519.291,-21702701.0,-8863001,-10740484,-13799896.942,11107824.0,-8863001.0,-10740484
29,002594.XSHE,002594,比亚迪,2016-09-06,189287729.588,134246366.0,13666117,0,-142969984.782,-13766310.0,-6218795,0,46317744.806,120480056.0,7447322.0,0
30,002594.XSHE,002594,比亚迪,2016-09-05,54948715.852,9294074.0,0,0,-70946750.308,-17546148.0,0,0,-15998034.456,-8252074.0,0.0,0
31,002594.XSHE,002594,比亚迪,2016-09-02,88621827.861,9769973.0,0,0,-100824702.619,-45728790.0,-6966584,0,-12202874.758,-35958817.0,-6966584.0,0
32,002594.XSHE,002594,比亚迪,2016-09-01,80844417.108,12848050.0,0,0,-72886232.882,-11037508.0,0,0,7958184.226,1810542.0,0.0,0
33,002594.XSHE,002594,比亚迪,2016-08-31,70468919.9,11252516.0,0,0,-76413715.53,-3507932.0,0,0,-5944795.63,7744584.0,0.0,0
34,002594.XSHE,002594,比亚迪,2016-08-30,88914695.444,15013699.0,6026386,0,-99477017.756,-21429058.0,0,0,-10562322.312,-6415359.0,6026386.0,0
35,002594.XSHE,002594,比亚迪,2016-08-29,111580010.032,10525213.0,13738315,0,-221990294.398,-29878432.0,-6199723,0,-110410284.366,-19353219.0,7538592.0,0
36,002594.XSHE,002594,比亚迪,2016-08-26,79862538.507,3903615.0,0,0,-139996348.133,-33388840.0,0,0,-60133809.626,-29485225.0,0.0,0
37,002594.XSHE,002594,比亚迪,2016-08-25,108275863.431,9851955.0,0,0,-148788717.229,-55197857.0,-12512498,-45679953,-40512853.798,-45345902.0,-12512498.0,-45679953
38,002594.XSHE,002594,比亚迪,2016-08-24,73874703.407,12225599.0,0,0,-85022703.063,-6877920.0,0,0,-11147999.656,5347679.0,0.0,0
39,002594.XSHE,002594,比亚迪,2016-08-23,80544375.511,13477134.0,5880036,0,-83812767.049,-17907825.0,0,0,-3268391.538,-4430691.0,5880036.0,0
40,002594.XSHE,002594,比亚迪,2016-08-22,90471038.378,9836369.0,0,0,-147079794.862,-82935762.0,-28444527,-10384281,-56608756.484,-73099393.0,-28444527.0,-10384281
41,002594.XSHE,002594,比亚迪,2016-08-19,67331212.067,3187836.0,5639051,0,-128735613.703,-21074979.0,0,0,-61404401.636,-17887143.0,5639051.0,0
42,002594.XSHE,002594,比亚迪,2016-08-18,102625020.087,20192146.0,7820910,0,-148738193.04,-59012900.0,-19718375,0,-46113172.953,-38820754.0,-11897465.0,0
43,002594.XSHE,002594,比亚迪,2016-08-17,214876762.967,88113510.0,8367322,34136725,-173330053.663,-11030055.0,0,0,41546709.304,77083455.0,8367322.0,34136725
44,002594.XSHE,002594,比亚迪,2016-08-16,143921995.818,35880062.0,0,0,-203884772.324,-51901760.0,-21232748,-11766000,-59962776.506,-16021698.0,-21232748.0,-11766000
45,002594.XSHE,002594,比亚迪,2016-08-15,232123102.454,51968480.0,0,0,-220892260.356,-48068030.0,0,-20128350,11230842.098,3900450.0,0.0,-20128350
46,002594.XSHE,002594,比亚迪,2016-08-12,131114697.389,18990571.0,7900691,0,-132884095.601,-21480904.0,0,0,-1769398.212,-2490333.0,7900691.0,0
47,002594.XSHE,002594,比亚迪,2016-08-11,115667865.11,9931669.0,0,0,-133297487.81,-19811641.0,0,0,-17629622.7,-9879972.0,0.0,0
48,002594.XSHE,002594,比亚迪,2016-08-10,69546217.331,9780145.0,0,0,-111085633.342,-9222785.0,0,0,-41539416.011,557360.0,0.0,0
49,002594.XSHE,002594,比亚迪,2016-08-09,118343490.587,8233838.0,0,0,-119548854.503,-26108773.0,-5187455,0,-1205363.916,-17874935.0,-5187455.0,0
50,002594.XSHE,002594,比亚迪,2016-08-08,112548487.788,2796939.0,0,0,-95763737.362,-9587555.0,0,0,16784750.426,-6790616.0,0.0,0
51,002594.XSHE,002594,比亚迪,2016-08-05,98377733.846,6009775.0,0,0,-118766593.374,-27972688.0,0,0,-20388859.528,-21962913.0,0.0,0
52,002594.XSHE,002594,比亚迪,2016-08-04,79334257.608,8937943.0,0,0,-89185397.512,-8501054.0,0,0,-9851139.904,436889.0,0.0,0
53,002594.XSHE,002594,比亚迪,2016-08-03,56955845.648,4887520.0,0,0,-87716840.652,-5922472.0,0,0,-30760995.004,-1034952.0,0.0,0
54,002594.XSHE,002594,比亚迪,2016-08-02,90771691.971,5412581.0,0,0,-89531471.759,-31547504.0,-6563688,0,1240220.212,-26134923.0,-6563688.0,0
55,002594.XSHE,002594,比亚迪,2016-08-01,77901376.277,5300735.0,0,0,-91561378.433,-24033900.0,-6491639,0,-13660002.156,-18733165.0,-6491639.0,0
56,002594.XSHE,002594,比亚迪,2016-07-29,76824867.942,7048266.0,0,0,-122853570.918,-15040449.0,0,0,-46028702.976,-7992183.0,0.0,0
57,002594.XSHE,002594,比亚迪,2016-07-28,129621329.175,30839684.0,0,0,-125459328.325,-24771375.0,0,0,4162000.85,6068309.0,0.0,0
58,002594.XSHE,002594,比亚迪,2016-07-27,182214854.816,31897464.0,0,0,-281088261.371,-90797316.0,-17841194,0,-98873406.555,-58899852.0,-17841194.0,0
59,002594.XSHE,002594,比亚迪,2016-07-26,158722967.159,25985397.0,0,0,-117521697.961,-20492380.0,0,0,41201269.198,5493017.0,0.0,0
60,002594.XSHE,002594,比亚迪,2016-07-25,128927537.867,18453814.0,0,0,-212818802.139,-61719229.0,-32990371,-13520190,-83891264.272,-43265415.0,-32990371.0,-13520190
61,002594.XSHE,002594,比亚迪,2016-07-22,142027788.119,24555452.0,20620130,0,-174099173.494,-88848688.0,-11084232,-10943508,-32071385.375,-64293236.0,9535898.0,-10943508
62,002594.XSHE,002594,比亚迪,2016-07-21,124970190.414,19076323.0,6559544,0,-165780814.174,-62651372.0,-16091521,-12315752,-40810623.76,-43575049.0,-9531977.0,-12315752
63,002594.XSHE,002594,比亚迪,2016-07-20,128915312.214,22375734.0,0,0,-130588942.766,-45706406.0,-5176366,-10413875,-1673630.552,-23330672.0,-5176366.0,-10413875
64,002594.XSHE,002594,比亚迪,2016-07-19,125168185.54,13889814.0,5074240,0,-145768267.249,-32940179.0,0,0,-20600081.709,-19050365.0,5074240.0,0
65,002594.XSHE,002594,比亚迪,2016-07-18,195360562.62,57158661.0,7923834,11504360,-220776802.59,-104271131.0,-23711902,0,-25416239.97,-47112470.0,-15788068.0,11504360
66,002594.XSHE,002594,比亚迪,2016-07-15,317704113.458,221559317.0,33434060,107412926,-364853560.206,-128028698.0,-28525667,0,-47149446.748,93530619.0,4908393.0,107412926
67,002594.XSHE,002594,比亚迪,2016-07-14,120841219.767,83441557.0,0,0,-182428801.776,-34180579.0,0,-10631113,-61587582.009,49260978.0,0.0,-10631113
68,002594.XSHE,002594,比亚迪,2016-07-13,183182761.483,41883420.0,0,0,-228287863.897,-80986903.0,-11784813,0,-45105102.414,-39103483.0,-11784813.0,0
69,002594.XSHE,002594,比亚迪,2016-07-12,190550539.867,52102073.0,0,0,-200545174.493,-74259419.0,-22038054,0,-9994634.626,-22157346.0,-22038054.0,0
70,002594.XSHE,002594,比亚迪,2016-07-11,136284075.492,19285339.0,0,0,-183668092.172,-76706463.0,-5744558,0,-47384016.68,-57421124.0,-5744558.0,0
71,002594.XSHE,002594,比亚迪,2016-07-08,197407081.968,49148218.0,15145131,0,-234785688.612,-54759647.0,-10552754,0,-37378606.644,-5611429.0,4592377.0,0
72,002594.XSHE,002594,比亚迪,2016-07-07,286339399.672,135503516.0,30291229,10413027,-225237515.229,-52077745.0,-18402840,0,61101884.443,83425771.0,11888389.0,10413027
73,002594.XSHE,002594,比亚迪,2016-07-06,127656464.479,10980924.0,0,0,-123119910.343,-34028031.0,0,0,4536554.136,-23047107.0,0.0,0
74,002594.XSHE,002594,比亚迪,2016-07-05,149370651.46,16363129.0,6110400,0,-254592765.0,-94133826.0,-5632056,-31071040,-105222113.54,-77770697.0,478344.0,-31071040
75,002594.XSHE,002594,比亚迪,2016-07-04,181225132.367,61030815.0,5579660,0,-195099702.252,-62938939.0,0,0,-13874569.885,-1908124.0,5579660.0,0
76,002594.XSHE,002594,比亚迪,2016-07-01,205437912.857,85066660.0,37813139,0,-191374993.008,-31964236.0,-7023384,0,14062919.849,53102424.0,30789755.0,0
77,002594.XSHE,002594,比亚迪,2016-06-30,228852791.298,55516423.0,42638265,0,-182822780.582,-19677007.0,0,0,46030010.716,35839416.0,42638265.0,0
78,002594.XSHE,002594,比亚迪,2016-06-29,128636362.438,40295319.0,5044660,13388022,-152527927.252,-59639316.0,-6952896,0,-23891564.814,-19343997.0,-1908236.0,13388022
79,002594.XSHE,002594,比亚迪,2016-06-28,175111032.138,46807962.0,0,0,-152041149.285,-26879403.0,-8673633,0,23069882.853,19928559.0,-8673633.0,0
80,002594.XSHE,002594,比亚迪,2016-06-27,128626981.247,17019708.0,0,0,-106385971.953,-25367584.0,-6038604,0,22241009.294,-8347876.0,-6038604.0,0
81,002594.XSHE,002594,比亚迪,2016-06-24,178015834.911,44667980.0,0,0,-200441664.599,-54572509.0,-9977534,0,-22425829.688,-9904529.0,-9977534.0,0
82,002594.XSHE,002594,比亚迪,2016-06-23,130911136.284,14263554.0,0,0,-200620789.271,-46468648.0,0,0,-69709652.987,-32205094.0,0.0,0
83,002594.XSHE,002594,比亚迪,2016-06-22,283802201.822,129742107.0,34957887,26770067,-214597463.275,-82778394.0,-20239122,-13252664,69204738.547,46963713.0,14718765.0,13517403
84,002594.XSHE,002594,比亚迪,2016-06-21,182571913.554,123382359.0,9025083,0,-219391545.658,-41319865.0,0,-10246180,-36819632.104,82062494.0,9025083.0,-10246180
85,002594.XSHE,002594,比亚迪,2016-06-20,111342820.971,14131658.0,0,0,-121682466.799,-14564706.0,0,0,-10339645.828,-433048.0,0.0,0
86,002594.XSHE,002594,比亚迪,2016-06-17,155786439.008,56737070.0,7877121,0,-154414814.002,-25516404.0,0,0,1371625.006,31220666.0,7877121.0,0
87,002594.XSHE,002594,比亚迪,2016-06-16,233585583.629,61935593.0,24730272,0,-223203394.218,-66215257.0,0,0,10382189.411,-4279664.0,24730272.0,0
88,002594.XSHE,002594,比亚迪,2016-06-15,224749817.695,100068504.0,22148246,33158174,-238115962.496,-37077361.0,-6877087,0,-13366144.801,62991143.0,15271159.0,33158174
89,002594.XSHE,002594,比亚迪,2016-06-14,116208738.213,9870783.0,0,0,-139978634.311,-46838576.0,-8960421,0,-23769896.098,-36967793.0,-8960421.0,0
90,002594.XSHE,002594,比亚迪,2016-06-13,168611141.519,21346581.0,0,0,-264093865.201,-136221913.0,-9536878,-25416557,-95482723.682,-114875332.0,-9536878.0,-25416557
91,002594.XSHE,002594,比亚迪,2016-06-08,138617262.63,26148951.0,0,0,-194043991.99,-24807985.0,-20596883,0,-55426729.36,1340966.0,-20596883.0,0
92,002594.XSHE,002594,比亚迪,2016-06-07,208443849.871,91628294.0,7746633,20792265,-163038999.983,-57510736.0,0,0,45404849.888,34117558.0,7746633.0,20792265
93,002594.XSHE,002594,比亚迪,2016-06-06,159017539.732,37291372.0,0,0,-129479891.81,-19749017.0,-8601450,0,29537647.922,17542355.0,-8601450.0,0
94,002594.XSHE,002594,比亚迪,2016-06-03,156644222.792,35173047.0,0,0,-160163518.063,-25713834.0,0,0,-3519295.271,9459213.0,0.0,0
95,002594.XSHE,002594,比亚迪,2016-06-02,111716516.314,20487037.0,0,0,-124358728.406,-20908045.0,-7449936,0,-12642212.092,-421008.0,-7449936.0,0
96,002594.XSHE,002594,比亚迪,2016-06-01,172831217.273,39948750.0,6148749,0,-160064777.597,-32018398.0,-5038113,0,12766439.676,7930352.0,1110636.0,0
97,002594.XSHE,002594,比亚迪,2016-05-31,225545778.798,68936804.0,11752206,0,-195060745.132,-16284550.0,0,0,30485033.666,52652254.0,11752206.0,0
98,002594.XSHE,002594,比亚迪,2016-05-30,118859104.971,14572412.0,6179778,0,-101252179.389,-7229177.0,0,0,17606925.582,7343235.0,6179778.0,0
99,002594.XSHE,002594,比亚迪,2016-05-27,131239552.984,10499272.0,0,0,-129124085.135,-66124009.0,-5433550,0,2115467.849,-55624737.0,-5433550.0,0
100,002594.XSHE,002594,比亚迪,2016-05-26,127007946.815,19670017.0,5210489,0,-128943890.625,-54068271.0,0,0,-1935943.81,-34398254.0,5210489.0,0
