,secID,ticker,secShortName,exchangeCD,secShortNameEn,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,isOpen
0,002594.XSHE,002594,比亚迪,XSHE,,2011-06-30,17.983,18.0,21.979,26.165,21.979,25.425,56292536,1349342210.0,111727,0.8796,0.9990308285,1628800000.0,59911845000,1
1,002594.XSHE,002594,比亚迪,XSHE,,2011-07-01,25.425,25.45,25.745,27.973,24.976,27.973,33561280,898679170.0,37438,0.5244,0.9990308285,1792000000.0,65914800000,1
2,002594.XSHE,002594,比亚迪,XSHE,,2011-07-04,27.973,28.0,28.852,30.77,28.552,30.77,21964592,653517890.0,25817,0.3432,0.9990308285,1971200000.0,72506280000,1
3,002594.XSHE,002594,比亚迪,XSHE,,2011-07-05,30.77,30.8,32.748,33.847,31.859,33.018,38108084,1257045630.0,56018,0.5954,0.9990308285,2115200000.0,77803005000,1
4,002594.XSHE,002594,比亚迪,XSHE,,2011-07-06,33.018,33.05,32.768,35.516,32.079,33.368,31296720,1056613890.0,51525,0.489,0.9990308285,2137600000.0,78626940000,1
5,002594.XSHE,002594,比亚迪,XSHE,,2011-07-07,33.368,33.4,33.068,33.937,32.548,33.557,22645016,753817730.0,33813,0.3538,0.9990308285,2149760000.0,79074219000,1
6,002594.XSHE,002594,比亚迪,XSHE,,2011-07-08,33.557,33.59,33.368,33.627,31.829,33.038,17506436,571756740.0,24001,0.2735,0.9990308285,2116480000.0,77850087000,1
7,002594.XSHE,002594,比亚迪,XSHE,,2011-07-11,33.038,33.07,32.768,33.587,32.478,32.798,13096733,431480992.0,17287,0.2046,0.9990308285,2101120000.0,77285103000,1
8,002594.XSHE,002594,比亚迪,XSHE,,2011-07-12,32.798,32.83,32.449,32.598,31.17,31.479,18060352,573997310.0,22401,0.2822,0.9990308285,2016640000.0,74177691000,1
9,002594.XSHE,002594,比亚迪,XSHE,,2011-07-13,31.479,31.51,30.79,31.27,30.49,31.16,16781524,519016768.0,19732,0.2622,0.9990308285,1996160000.0,73424379000,1
10,002594.XSHE,002594,比亚迪,XSHE,,2011-07-14,31.16,31.19,31.16,31.539,29.302,29.971,19380476,588273980.0,25573,0.3028,0.9990308285,1920000000.0,70623000000,1
11,002594.XSHE,002594,比亚迪,XSHE,,2011-07-15,29.971,30.0,29.771,30.151,29.102,29.781,13946810,413502304.0,18847,0.2179,0.9990308285,1907840000.0,70175721000,1
12,002594.XSHE,002594,比亚迪,XSHE,,2011-07-18,29.781,29.81,29.761,32.568,29.681,32.009,31365928,976900480.0,39083,0.4901,0.9990308285,2050560000.0,75425364000,1
13,002594.XSHE,002594,比亚迪,XSHE,,2011-07-19,32.009,32.04,31.07,31.41,29.871,30.021,16085710,488925120.0,25644,0.2513,0.9990308285,1923200000.0,70740705000,1
14,002594.XSHE,002594,比亚迪,XSHE,,2011-07-20,30.021,30.05,30.47,31.22,30.061,30.371,11017285,338149344.0,18149,0.1721,0.9990308285,1945600000.0,71564640000,1
15,002594.XSHE,002594,比亚迪,XSHE,,2011-07-21,30.371,30.4,30.021,30.071,28.982,29.132,10073127,295566880.0,17248,0.1574,0.9990308285,1866240000.0,68645556000,1
16,002594.XSHE,002594,比亚迪,XSHE,,2011-07-22,29.132,29.16,29.172,29.571,28.782,29.372,6143671,180016384.0,10130,0.096,0.9990308285,1881600000.0,69210540000,1
17,002594.XSHE,002594,比亚迪,XSHE,,2011-07-25,29.372,29.4,28.982,29.122,27.473,27.633,8572878,242368976.0,13411,0.134,0.9990308285,1770240000.0,65114406000,1
18,002594.XSHE,002594,比亚迪,XSHE,,2011-07-26,27.633,27.66,27.653,28.273,27.294,27.993,5468334,152789200.0,8826,0.0854,0.9990308285,1793280000.0,65961882000,1
19,002594.XSHE,002594,比亚迪,XSHE,,2011-07-27,27.993,28.02,27.873,29.282,27.373,29.172,9917567,284095008.0,14823,0.155,0.9990308285,1868800000.0,68739720000,1
20,002594.XSHE,002594,比亚迪,XSHE,,2011-07-28,29.172,29.2,28.572,28.672,27.883,28.372,5765946,163589280.0,9379,0.0901,0.9990308285,1817600000.0,66856440000,1
21,002594.XSHE,002594,比亚迪,XSHE,,2011-07-29,28.372,28.4,28.382,29.172,27.983,28.143,5122494,146357840.0,8201,0.08,0.9990308285,1802880000.0,66314997000,1
22,002594.XSHE,002594,比亚迪,XSHE,,2011-08-01,28.143,28.17,28.033,29.551,27.973,29.082,8312528,241332080.0,13885,0.1299,0.9990308285,1863040000.0,68527851000,1
23,002594.XSHE,002594,比亚迪,XSHE,,2011-08-02,29.082,29.11,28.632,31.929,28.183,30.61,17374920,524957824.0,27397,0.2715,0.9990308285,1960960000.0,72129624000,1
24,002594.XSHE,002594,比亚迪,XSHE,,2011-08-03,30.61,30.64,30.171,31.969,30.001,30.54,13281982,411353376.0,21887,0.2075,0.9990308285,1956480000.0,71964837000,1
25,002594.XSHE,002594,比亚迪,XSHE,,2011-08-04,30.54,30.57,30.271,30.85,29.621,29.901,8657615,259924064.0,14592,0.1353,0.9990308285,1915520000.0,70458213000,1
26,002594.XSHE,002594,比亚迪,XSHE,,2011-08-05,29.901,29.93,28.502,29.332,27.973,28.602,7309318,209889856.0,11847,0.1142,0.9990308285,1832320000.0,67397883000,1
27,002594.XSHE,002594,比亚迪,XSHE,,2011-08-08,28.602,28.63,27.973,27.973,25.775,26.215,9057060,243182928.0,14668,0.1415,0.9990308285,1679360000.0,61771584000,1
28,002594.XSHE,002594,比亚迪,XSHE,,2011-08-09,26.215,26.24,25.006,26.674,24.047,26.424,8998269,230757584.0,12803,0.1406,0.9990308285,1692800000.0,62265945000,1
29,002594.XSHE,002594,比亚迪,XSHE,,2011-08-10,26.424,26.45,26.964,27.393,26.394,26.424,7356631,197888416.0,10346,0.1149,0.9990308285,1692800000.0,62265945000,1
30,002594.XSHE,002594,比亚迪,XSHE,,2011-08-11,26.424,26.45,25.026,26.524,25.026,26.464,5225961,136539952.0,8054,0.0817,0.9990308285,1695360000.0,62360109000,1
31,002594.XSHE,002594,比亚迪,XSHE,,2011-08-12,26.464,26.49,26.724,27.863,26.634,26.854,6832513,186010048.0,10481,0.1068,0.9990308285,1720320000.0,63278208000,1
