,tradeDate,secID,ticker,assetClass,exchangeCD,secShortName,currencyCD,finVal,finBuyVal,finRefundVal,secVol,secSellVol,secRefundVol,secVal,tradeVal
0,2016-10-25,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1659984838,47202306,45226935,62344,0,0,3546750,1663531588
1,2016-10-24,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1658009467,61263649,50037924,62344,9100,400,3551114,1661560581
2,2016-10-21,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1646783742,29635156,46544995,53644,200,2800,3031422,1649815164
3,2016-10-20,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1663693581,38311721,32542810,56244,400,500,3196346,1666889927
4,2016-10-19,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1657924670,47552533,50330822,56344,300,2600,3213861,1661138531
5,2016-10-18,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1660702959,72754322,46352209,58644,10300,4700,3363233,1664066192
6,2016-10-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1634300846,48158701,46233772,53044,3900,4600,3011838,1637312684
7,2016-10-14,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1632375917,49429139,45187116,53744,3500,12500,3077918,1635453835
8,2016-10-13,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1628133894,58333351,57704500,62744,2500,4000,3595858,1631729752
9,2016-10-12,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1627505043,41550624,36760759,64244,2300,3000,3696599,1631201642
10,2016-10-11,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1622715178,90370423,84445790,64944,24700,4500,3759608,1626474786
11,2016-10-10,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1616790545,45819923,40193937,44744,5400,3000,2541459,1619332004
12,2016-09-30,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1611164559,12182145,33588402,42344,0,4200,2353902,1613518461
13,2016-09-29,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1632570816,23818505,62424935,46544,10000,600,2569694,1635140510
14,2016-09-28,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1671177246,19352810,16783624,37144,800,17600,2055177,1673232423
15,2016-09-27,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1668608060,34552800,27495267,53944,5500,3700,2990655,1671598715
16,2016-09-26,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1661550527,46221892,69688581,52144,3600,3427,2888777,1664439304
17,2016-09-23,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1685017216,10342486,39544952,51971,0,400,2961307,1687978523
18,2016-09-22,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1714219682,45421023,38760819,52371,800,2100,2990384,1717210066
19,2016-09-21,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1707559478,30506363,59753370,53671,400,800,3045829,1710605307
20,2016-09-20,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1736806485,32218855,23968588,54071,2600,5900,3044737,1739851222
21,2016-09-19,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1728556218,45063481,32442869,57371,5727,1200,3251787,1731808005
22,2016-09-14,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1715935606,60228425,113527885,52844,800,49350,2959792,1718895398
23,2016-09-13,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1769235066,74829590,126622003,101394,10300,1600,5781485,1775016551
24,2016-09-12,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1821027479,57055995,70236940,92694,6000,7100,5345663,1826373142
25,2016-09-09,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1834208424,86897468,76121469,93794,43164,4000,5534784,1839743208
26,2016-09-08,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1823432425,45086340,46106830,54630,4000,5617,3217706,1826650131
27,2016-09-07,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1824452915,73957684,58026075,56247,2000,12300,3316885,1827769800
28,2016-09-06,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1808521306,83576941,76835136,66547,16061,4700,3960212,1812481518
29,2016-09-05,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1801779501,33087800,38127862,55186,0,10100,3196373,1804975874
30,2016-09-02,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1806819563,45139610,48316534,65286,10300,100,3777448,1810597011
31,2016-09-01,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1809996487,36837169,38863788,55086,100,0,3220328,1813216815
32,2016-08-31,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1812023106,29653594,33346200,54986,19300,0,3219430,1815242536
33,2016-08-30,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1815715712,36235893,37362167,35686,0,51572,2086560,1817802272
34,2016-08-29,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1816841986,59150497,37259813,87258,0,0,5086269,1821928255
35,2016-08-26,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1794951302,49165654,61239465,87258,0,3500,5091504,1800042806
36,2016-08-25,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1807025113,90094606,59301170,90758,2600,100,5282116,1812307229
37,2016-08-24,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1776231677,44133718,33345013,88258,0,0,5214283,1781445960
38,2016-08-23,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1765442972,32978355,32944825,88258,0,15600,5199279,1770642251
39,2016-08-22,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1765409442,59334156,63871840,103858,2500,6200,6094387,1771503829
40,2016-08-19,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1769947126,36012595,34759111,107558,20200,8000,6438422,1776385548
41,2016-08-18,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1768693642,79123894,60622033,95358,8000,12900,5727201,1774420843
42,2016-08-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1750191781,138372361,104326279,100258,24472,0,6087666,1756279447
43,2016-08-16,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1716145699,78594948,71951404,75786,1500,13300,4541097,1720686796
44,2016-08-15,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1709502155,109868802,79140589,87586,3400,400,5261291,1714763446
45,2016-08-12,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1678773942,39031397,45828271,84586,100,27817,5013412,1683787354
46,2016-08-11,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1685570816,68593642,41821609,112303,1017,700,6580956,1692151772
47,2016-08-10,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1658798783,46137075,36230240,111986,800,0,6594856,1665393639
48,2016-08-09,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1648891948,57613519,36109196,111186,0,0,6576652,1655468600
49,2016-08-08,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1627387625,39066519,32172205,111186,2400,400,6549967,1633937592
50,2016-08-05,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1620493311,47686601,35347297,109186,1500,4100,6416861,1626910172
51,2016-08-04,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1608154007,41259275,31393265,111786,100,700,6604317,1614758324
52,2016-08-03,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1598287997,34109231,26723261,112386,0,600,6612792,1604900789
53,2016-08-02,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1590902027,38853008,34430665,112986,800,900,6661655,1597563682
54,2016-08-01,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1586479684,30386860,42405718,113086,100,0,6660765,1593140449
55,2016-07-29,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1598498542,40442188,78074313,112986,100,1200,6705719,1605204261
56,2016-07-28,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1636130667,49044623,68598206,114086,2600,0,6816639,1642947306
57,2016-07-27,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1655684250,129913930,174128837,111486,11000,200,6620039,1662304289
58,2016-07-26,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1699899157,75515296,55176594,100686,900,100,6158963,1706058120
59,2016-07-25,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1679560455,81502985,128828827,99886,0,700,6045101,1685605556
60,2016-07-22,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1726886297,91898487,92603524,100586,0,1100,6186039,1733072336
61,2016-07-21,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1727591334,73982000,90886431,101686,3100,0,6298431,1733889765
62,2016-07-20,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1744495765,68503047,106966048,98586,10100,0,6161625,1750657390
63,2016-07-19,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1782958766,71781988,78632452,88486,100,4000,5556921,1788515687
64,2016-07-18,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1789809230,177789250,127750040,92386,100,10000,5787983,1795597213
65,2016-07-15,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1739770020,266184508,170683321,102286,10800,20000,6442995,1746213015
66,2016-07-14,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1644268833,147518002,80621667,111486,4700,800,6822943,1651091776
67,2016-07-13,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1577372498,163717633,69019066,107586,900,100,6555215,1583927713
68,2016-07-12,002594.XSHE,002594,E,XSHE,比亚迪,CNY,1482673931,126255189,103646449,106786,100,0,6521421,1489195352
