,tradeDate,secID,ticker,assetClass,exchangeCD,secFullName,currencyCD,tradePrice,tradeVal,tradeVol,buyerBD,sellerBD
0,2011-01-21,002415.XSHE,002415,E,XSHE,海康威视,CNY,75.42,324.31,4.3,平安证券有限责任公司深圳蛇口招商路招商大厦证券营业部,海通证券股份有限公司杭州解放路证券营业部
1,2011-08-18,002415.XSHE,002415,E,XSHE,海康威视,CNY,41.83,3137.25,75.0,中信证券股份有限公司北京张自忠路证券营业部,中国国际金融有限公司杭州教工路证券营业部
2,2011-08-18,002415.XSHE,002415,E,XSHE,海康威视,CNY,41.83,5019.6,120.0,机构专用,中国国际金融有限公司杭州教工路证券营业部
3,2011-08-18,002415.XSHE,002415,E,XSHE,海康威视,CNY,41.83,2509.8,60.0,机构专用,中国国际金融有限公司杭州教工路证券营业部
4,2011-08-18,002415.XSHE,002415,E,XSHE,海康威视,CNY,41.83,1547.71,37.0,中国国际金融有限公司上海淮海中路证券营业部,中国国际金融有限公司杭州教工路证券营业部
5,2011-08-18,002415.XSHE,002415,E,XSHE,海康威视,CNY,41.83,2509.8,60.0,机构专用,中国国际金融有限公司杭州教工路证券营业部
6,2011-08-18,002415.XSHE,002415,E,XSHE,海康威视,CNY,41.83,4183.0,100.0,北京高华证券有限责任公司北京金融大街证券营业部,中国国际金融有限公司杭州教工路证券营业部
7,2011-08-18,002415.XSHE,002415,E,XSHE,海康威视,CNY,41.83,1464.05,35.0,中国国际金融有限公司上海淮海中路证券营业部,中国国际金融有限公司杭州教工路证券营业部
8,2011-08-18,002415.XSHE,002415,E,XSHE,海康威视,CNY,41.83,4183.0,100.0,机构专用,中国国际金融有限公司杭州教工路证券营业部
9,2011-08-18,002415.XSHE,002415,E,XSHE,海康威视,CNY,41.83,4183.0,100.0,中国国际金融有限公司上海淮海中路证券营业部,中国国际金融有限公司杭州教工路证券营业部
10,2011-08-18,002415.XSHE,002415,E,XSHE,海康威视,CNY,41.83,1254.9,30.0,中国国际金融有限公司上海淮海中路证券营业部,中国国际金融有限公司杭州教工路证券营业部
11,2011-08-18,002415.XSHE,002415,E,XSHE,海康威视,CNY,41.83,8366.0,200.0,机构专用,中国国际金融有限公司杭州教工路证券营业部
12,2011-08-18,002415.XSHE,002415,E,XSHE,海康威视,CNY,41.83,2091.5,50.0,机构专用,中国国际金融有限公司杭州教工路证券营业部
