,secID,ticker,secShortName,tradeDate,inflowS,inflowM,inflowL,inflowXl,outflowS,outflowM,outflowL,outflowXl,netInflowS,netInflowM,netInflowL,netInflowXl
0,002415.XSHE,002415,海康威视,2016-10-26,138702183.34,11773761,0,0,-151251744.35,-30910107,0,0,-12549561.01,-19136346.0,0.0,0
1,002415.XSHE,002415,海康威视,2016-10-25,160647212.144,17098615,0,0,-169376843.946,-60199959,-40028997,-13111491,-8729631.802,-43101344.0,-40028997.0,-13111491
2,002415.XSHE,002415,海康威视,2016-10-24,129513628.552,24997941,0,0,-169738282.852,-59325025,-7526494,0,-40224654.3,-34327084.0,-7526494.0,0
3,002415.XSHE,002415,海康威视,2016-10-21,97682172.663,1117108,0,0,-87686560.627,-9100403,0,0,9995612.036,-7983295.0,0.0,0
4,002415.XSHE,002415,海康威视,2016-10-20,137668753.183,29973622,0,0,-110047963.85,-17573816,0,0,27620789.333,12399806.0,0.0,0
5,002415.XSHE,002415,海康威视,2016-10-19,156784574.827,35950133,0,0,-141495951.283,-30054930,0,0,15288623.544,5895203.0,0.0,0
6,002415.XSHE,002415,海康威视,2016-10-18,91875033.072,7239152,0,0,-87008191.838,-7848569,0,0,4866841.234,-609417.0,0.0,0
7,002415.XSHE,002415,海康威视,2016-10-17,115033617.374,5493612,0,0,-118329108.776,-26862518,0,0,-3295491.402,-21368906.0,0.0,0
8,002415.XSHE,002415,海康威视,2016-10-14,128588471.641,8933578,0,0,-126034693.029,-6132391,0,0,2553778.612,2801187.0,0.0,0
9,002415.XSHE,002415,海康威视,2016-10-13,214772809.104,62623961,0,0,-230812381.096,-81916770,-10069084,0,-16039571.992,-19292809.0,-10069084.0,0
10,002415.XSHE,002415,海康威视,2016-10-12,247490112.93,118781084,17205137,27020000,-172205365.333,-38777717,0,0,75284747.597,80003367.0,17205137.0,27020000
11,002415.XSHE,002415,海康威视,2016-10-11,134164437.125,29465111,0,0,-128548249.765,-14677306,-5267520,0,5616187.36,14787805.0,-5267520.0,0
12,002415.XSHE,002415,海康威视,2016-10-10,234150184.307,64923598,0,0,-263099687.278,-89696226,-5002187,0,-28949502.971,-24772628.0,-5002187.0,0
13,002415.XSHE,002415,海康威视,2016-09-30,116723889.673,10385615,0,0,-77676628.177,-3092861,0,0,39047261.496,7292754.0,0.0,0
14,002415.XSHE,002415,海康威视,2016-09-29,82064695.127,9342488,0,0,-49430448.523,-9769756,0,0,32634246.604,-427268.0,0.0,0
15,002415.XSHE,002415,海康威视,2016-09-28,50787912.567,3362410,0,0,-59042577.593,-9490372,0,0,-8254665.026,-6127962.0,0.0,0
16,002415.XSHE,002415,海康威视,2016-09-27,72419732.389,9454642,0,0,-97220256.801,-10093112,0,0,-24800524.412,-638470.0,0.0,0
17,002415.XSHE,002415,海康威视,2016-09-26,55469913.432,6363719,0,0,-120173862.708,-12268395,0,0,-64703949.276,-5904676.0,0.0,0
18,002415.XSHE,002415,海康威视,2016-09-23,70574318.03,8759426,0,0,-75162259.07,-1963202,0,0,-4587941.04,6796224.0,0.0,0
19,002415.XSHE,002415,海康威视,2016-09-22,99064901.684,5205384,0,0,-94416417.376,-8224104,0,0,4648484.308,-3018720.0,0.0,0
20,002415.XSHE,002415,海康威视,2016-09-21,44289811.602,1099392,0,0,-52454025.908,0,0,0,-8164214.306,1099392.0,0.0,0
