,secID,ticker,secShortName,exchangeCD,secShortNameEn,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,isOpen
0,002415.XSHE,002415,海康威视,XSHE,,2010-05-28,5.235,68.0,6.004,6.389,5.918,6.307,34098352,2723697150.0,96702,0.8525,0.0769800842,3277200000.0,40965000000.0,1
1,002415.XSHE,002415,海康威视,XSHE,,2010-05-31,6.307,81.93,6.611,6.757,6.429,6.543,17227872,1471291650.0,28734,0.4307,0.0769800842,3400000000.0,42500000000.0,1
2,002415.XSHE,002415,海康威视,XSHE,,2010-06-01,6.543,85.0,6.62,6.774,6.48,6.717,10994680,945440190.0,21953,0.2749,0.0769800842,3490000000.0,43625000000.0,1
3,002415.XSHE,002415,海康威视,XSHE,,2010-06-02,6.717,87.25,6.505,6.651,6.329,6.628,9496264,800740030.0,16187,0.2374,0.0769800842,3444000000.0,43050000000.0,1
4,002415.XSHE,002415,海康威视,XSHE,,2010-06-03,6.628,86.1,6.62,6.681,6.236,6.282,7560522,635491840.0,12806,0.189,0.0769800842,3264000000.0,40800000000.0,1
5,002415.XSHE,002415,海康威视,XSHE,,2010-06-04,6.282,81.6,6.162,6.381,6.161,6.239,5087772,412869120.0,8408,0.1272,0.0769800842,3242000000.0,40525000000.0,1
6,002415.XSHE,002415,海康威视,XSHE,,2010-06-07,6.239,81.05,6.036,6.358,6.036,6.245,4676806,377475872.0,7787,0.1169,0.0769800842,3245200000.0,40565000000.0,1
7,002415.XSHE,002415,海康威视,XSHE,,2010-06-08,6.245,81.13,6.205,6.343,5.961,6.104,5514313,437974176.0,9254,0.1379,0.0769800842,3171600000.0,39645000000.0,1
8,002415.XSHE,002415,海康威视,XSHE,,2010-06-09,6.104,79.29,6.088,6.342,6.044,6.251,4495839,362423040.0,8072,0.1124,0.0769800842,3248000000.0,40600000000.0,1
9,002415.XSHE,002415,海康威视,XSHE,,2010-06-10,6.251,81.2,6.197,6.486,6.179,6.428,3619226,299970080.0,7331,0.0905,0.0769800842,3340000000.0,41750000000.0,1
10,002415.XSHE,002415,海康威视,XSHE,,2010-06-11,6.428,83.5,6.466,6.536,6.357,6.48,3785070,317148128.0,6671,0.0946,0.0769800842,3367200000.0,42090000000.0,1
11,002415.XSHE,002415,海康威视,XSHE,,2010-06-17,6.48,84.18,6.482,6.522,6.105,6.158,3301453,269617216.0,5552,0.0825,0.0769800842,3200000000.0,40000000000.0,1
12,002415.XSHE,002415,海康威视,XSHE,,2010-06-18,6.158,80.0,6.075,6.231,6.044,6.127,1923900,152940864.0,3392,0.0481,0.0769800842,3183600000.0,39795000000.0,1
13,002415.XSHE,002415,海康威视,XSHE,,2010-06-21,6.127,79.59,6.081,6.111,5.697,6.081,2365497,182506384.0,4094,0.0591,0.0769800842,3160000000.0,39500000000.0,1
14,002415.XSHE,002415,海康威视,XSHE,,2010-06-22,6.081,79.0,6.004,6.108,5.918,5.966,1190746,93032928.0,2839,0.0298,0.0769800842,3100000000.0,38750000000.0,1
15,002415.XSHE,002415,海康威视,XSHE,,2010-06-23,5.966,77.5,5.889,6.043,5.855,6.02,1290247,100205368.0,2475,0.0323,0.0769800842,3128000000.0,39100000000.0,1
16,002415.XSHE,002415,海康威视,XSHE,,2010-06-24,6.02,78.2,5.99,6.066,5.984,6.051,1178116,92352744.0,2169,0.0295,0.0769800842,3144000000.0,39300000000.0,1
17,002415.XSHE,002415,海康威视,XSHE,,2010-06-25,6.051,78.6,0.0,0.0,0.0,6.051,0,0.0,0,0.0,0.0769800842,3144000000.0,39300000000.0,0
18,002415.XSHE,002415,海康威视,XSHE,,2010-06-28,6.051,78.6,6.041,6.041,5.76,5.774,2241503,170509632.0,3225,0.056,0.0769800842,3000000000.0,37500000000.0,1
19,002415.XSHE,002415,海康威视,XSHE,,2010-06-29,5.774,75.0,5.774,5.774,5.325,5.356,1927304,138013168.0,3688,0.0482,0.0769800842,2783200000.0,34790000000.0,1
20,002415.XSHE,002415,海康威视,XSHE,,2010-06-30,5.356,69.58,5.294,5.427,5.081,5.335,1276316,86760720.0,2540,0.0319,0.0769800842,2772000000.0,34650000000.0,1
21,002415.XSHE,002415,海康威视,XSHE,,2010-07-01,5.335,69.3,5.312,5.372,5.238,5.265,704792,48559084.0,1433,0.0176,0.0769800842,2736000000.0,34200000000.0,1
22,002415.XSHE,002415,海康威视,XSHE,,2010-07-02,5.265,68.4,5.246,5.281,4.896,5.131,1759315,115177320.0,3001,0.044,0.0769800842,2666400000.0,33330000000.0,1
23,002415.XSHE,002415,海康威视,XSHE,,2010-07-05,5.131,66.66,5.004,5.233,4.942,5.226,1042355,69480920.0,1836,0.0261,0.0769800842,2715600000.0,33945000000.0,1
24,002415.XSHE,002415,海康威视,XSHE,,2010-07-06,5.226,67.89,5.158,5.35,5.105,5.284,1010688,68965576.0,2017,0.0253,0.0769800842,2745600000.0,34320000000.0,1
