,tradeDate,secID,ticker,assetClass,exchangeCD,secShortName,currencyCD,finVal,finBuyVal,finRefundVal,secVol,secSellVol,secRefundVol,secVal,tradeVal
0,2016-10-25,002415.XSHE,002415,E,XSHE,海康威视,CNY,948791785,73464759,29734860,196670,10000,53800,4879384,953671169
1,2016-10-24,002415.XSHE,002415,E,XSHE,海康威视,CNY,905061886,60785041,28647461,240470,51300,5300,6055035,911116921
2,2016-10-21,002415.XSHE,002415,E,XSHE,海康威视,CNY,872924306,18919518,73443825,194470,8600,36050,4923980,877848286
3,2016-10-20,002415.XSHE,002415,E,XSHE,海康威视,CNY,927448613,40030831,41738683,221920,30400,10100,5596822,933045435
4,2016-10-19,002415.XSHE,002415,E,XSHE,海康威视,CNY,929156465,38835477,35818206,201620,16900,41100,5040500,934196965
5,2016-10-18,002415.XSHE,002415,E,XSHE,海康威视,CNY,926139194,20646997,32502824,225820,41200,21000,5622918,931762112
6,2016-10-17,002415.XSHE,002415,E,XSHE,海康威视,CNY,937995021,36944059,39080164,205620,15800,40400,5078814,943073835
7,2016-10-14,002415.XSHE,002415,E,XSHE,海康威视,CNY,940131126,24725010,23072917,230220,43100,92771,5792335,945923461
8,2016-10-13,002415.XSHE,002415,E,XSHE,海康威视,CNY,938479033,37721398,66538637,279891,67400,160592,7036460,945515493
9,2016-10-12,002415.XSHE,002415,E,XSHE,海康威视,CNY,967296272,58713205,67015664,373083,203392,54129,9327075,976623347
10,2016-10-11,002415.XSHE,002415,E,XSHE,海康威视,CNY,975598731,29924234,37295053,223820,2500,46400,5349298,980948029
11,2016-10-10,002415.XSHE,002415,E,XSHE,海康威视,CNY,982969550,96084147,41906275,267720,62200,34800,6371736,989341286
12,2016-09-30,002415.XSHE,002415,E,XSHE,海康威视,CNY,928791678,7554169,22631425,240320,34600,35300,5880631,934672309
13,2016-09-29,002415.XSHE,002415,E,XSHE,海康威视,CNY,943868934,9381412,22111004,241020,26100,25600,5837504,949706438
14,2016-09-28,002415.XSHE,002415,E,XSHE,海康威视,CNY,956598526,8372432,14728387,240520,46100,37300,5748428,962346954
15,2016-09-27,002415.XSHE,002415,E,XSHE,海康威视,CNY,962954481,14582230,15902107,231720,41500,90900,5584452,968538933
16,2016-09-26,002415.XSHE,002415,E,XSHE,海康威视,CNY,964274358,17939172,15335219,281120,59800,28000,6746880,971021238
