,secID,ticker,secShortName,exchangeCD,partyID,changeDate,totalShares,sharesA,sharesB,floatA,nonrestfloatA,floatB,restShares,nonrestFloatShares
0,002230.XSHE,002230,科大讯飞,XSHE,29262,2016-08-22,1293772400,1293772400,,1293772400,1162068400.0,,131704000.0,1162068400
1,002230.XSHE,002230,科大讯飞,XSHE,29262,2016-06-30,1293772400,1293772400,,1293772400,1093668400.0,,200104000.0,1093668400
2,002230.XSHE,002230,科大讯飞,XSHE,29262,2016-04-25,1286626800,1286626800,,1286626800,1100356300.0,,186270500.0,1100356300
3,002230.XSHE,002230,科大讯飞,XSHE,29262,2015-12-31,1286626800,1286626800,,1286626800,908342100.0,,378284700.0,908342100
4,002230.XSHE,002230,科大讯飞,XSHE,29262,2015-08-20,1285447400,1285447400,,1285447400,907246400.0,,378201000.0,907246400
5,002230.XSHE,002230,科大讯飞,XSHE,29262,2015-07-10,1216101000,1216101000,,1216101000,893716500.0,,322384500.0,893716500
6,002230.XSHE,002230,科大讯飞,XSHE,29262,2015-06-30,1215221800,1215221800,,1215221800,894294900.0,,320926900.0,894294900
7,002230.XSHE,002230,科大讯飞,XSHE,29262,2015-04-16,1211776641,1211776641,0.0,1211776641,890924768.0,0.0,320851873.0,890924768
8,002230.XSHE,002230,科大讯飞,XSHE,29262,2014-12-31,802987284,802987284,0.0,802987284,588011897.0,,214975387.0,588011897
9,002230.XSHE,002230,科大讯飞,XSHE,29262,2014-06-30,801501746,801501746,,801501746,578486664.0,,223015082.0,578486664
10,002230.XSHE,002230,科大讯飞,XSHE,29262,2014-04-16,800870596,800870596,,800870596,577855513.0,,223015083.0,577855513
11,002230.XSHE,002230,科大讯飞,XSHE,29262,2014-03-16,471100351,471100351,,471100351,339915008.0,,131185343.0,339915008
12,002230.XSHE,002230,科大讯飞,XSHE,29262,2014-03-14,471100351,471100351,0.0,471100351,333458758.0,0.0,137641593.0,333458758
13,002230.XSHE,002230,科大讯飞,XSHE,29262,2013-12-31,468492900,468492900,,468492900,330851307.0,,137641593.0,330851307
14,002230.XSHE,002230,科大讯飞,XSHE,29262,2013-06-30,468492900,468492900,,468492900,330851307.0,,137641593.0,330851307
15,002230.XSHE,002230,科大讯飞,XSHE,29262,2013-04-24,468492900,468492900,0.0,468492900,330851307.0,0.0,137641593.0,330851307
16,002230.XSHE,002230,科大讯飞,XSHE,29262,2013-04-18,468492900,468492900,0.0,468492900,330851307.0,0.0,137641593.0,330851307
17,002230.XSHE,002230,科大讯飞,XSHE,29262,2012-12-31,378115876,378115876,,378115876,330528809.0,,47587067.0,330528809
18,002230.XSHE,002230,科大讯飞,XSHE,29262,2012-06-30,378115876,378115876,,378115876,327117940.0,,50997936.0,327117940
19,002230.XSHE,002230,科大讯飞,XSHE,29262,2012-05-21,378115876,378115876,,378115876,327118840.0,,50997036.0,327118840
20,002230.XSHE,002230,科大讯飞,XSHE,29262,2012-05-10,252077251,252077251,,252077251,218187558.0,,33889693.0,218187558
21,002230.XSHE,002230,科大讯飞,XSHE,29262,2011-12-31,252077251,252077251,,252077251,207233807.0,,44843444.0,207233807
22,002230.XSHE,002230,科大讯飞,XSHE,29262,2011-06-30,252077251,252077251,,252077251,205972157.0,,46105094.0,205972157
23,002230.XSHE,002230,科大讯飞,XSHE,29262,2011-05-16,252077251,252077251,0.0,252077251,205972159.0,0.0,46105092.0,205972159
24,002230.XSHE,002230,科大讯飞,XSHE,29262,2011-05-10,252077251,252077251,0.0,252077251,127133045.0,0.0,124944206.0,127133045
25,002230.XSHE,002230,科大讯飞,XSHE,29262,2011-05-04,252077251,252077251,0.0,252077251,127133045.0,0.0,124944206.0,127133045
26,002230.XSHE,002230,科大讯飞,XSHE,29262,2011-03-03,241123500,241123500,,241123500,127133045.0,,113990455.0,127133045
27,002230.XSHE,002230,科大讯飞,XSHE,29262,2010-12-31,160749000,160749000,0.0,160749000,84755363.0,0.0,75993637.0,84755363
28,002230.XSHE,002230,科大讯飞,XSHE,29262,2010-06-30,160749000,160749000,0.0,160749000,83639963.0,0.0,77109037.0,83639963
29,002230.XSHE,002230,科大讯飞,XSHE,29262,2009-12-31,160749000,160749000,0.0,160749000,83639963.0,0.0,77109037.0,83639963
30,002230.XSHE,002230,科大讯飞,XSHE,29262,2009-06-30,160749000,160749000,,160749000,82524563.0,,78224437.0,82524563
31,002230.XSHE,002230,科大讯飞,XSHE,29262,2009-05-22,160749000,160749000,,160749000,82524563.0,,78224437.0,82524563
32,002230.XSHE,002230,科大讯飞,XSHE,29262,2009-05-12,107166000,107166000,,107166000,55016375.0,,52149625.0,55016375
33,002230.XSHE,002230,科大讯飞,XSHE,29262,2008-12-31,107166000,107166000,,107166000,26800000.0,,80366000.0,26800000
34,002230.XSHE,002230,科大讯飞,XSHE,29262,2008-08-12,107166000,107166000,,107166000,26800000.0,,80366000.0,26800000
35,002230.XSHE,002230,科大讯飞,XSHE,29262,2008-06-30,107166000,107166000,0.0,107166000,26800000.0,0.0,80366000.0,26800000
36,002230.XSHE,002230,科大讯飞,XSHE,29262,2008-05-12,107166000,107166000,,107166000,21440000.0,,85726000.0,21440000
37,002230.XSHE,002230,科大讯飞,XSHE,29262,2008-04-25,107166000,107166000,,107166000,26800000.0,,80366000.0,26800000
38,002230.XSHE,002230,科大讯飞,XSHE,29262,2007-12-31,80366000,80366000,,80366000,,,,0
39,002230.XSHE,002230,科大讯飞,XSHE,29262,2006-12-31,73060000,73060000,,73060000,,,,0
40,002230.XSHE,002230,科大讯飞,XSHE,29262,2005-12-31,73060000,73060000,,73060000,,,,0
