,secID,ticker,secShortName,tradeDate,inflowS,inflowM,inflowL,inflowXl,outflowS,outflowM,outflowL,outflowXl,netInflowS,netInflowM,netInflowL,netInflowXl
0,002230.XSHE,002230,科大讯飞,2016-10-26,193604133.785,45530587.0,0,0,-316509248.185,-127948472.0,-28002755,-12225204,-122905114.4,-82417885.0,-28002755.0,-12225204
1,002230.XSHE,002230,科大讯飞,2016-10-25,366563636.662,183130701.0,6987918,0,-341140304.038,-90579209.0,0,0,25423332.624,92551492.0,6987918.0,0
2,002230.XSHE,002230,科大讯飞,2016-10-24,401889725.245,241402772.0,21119655,102639024,-426159629.089,-184667917.0,-7688846,-11099579,-24269903.844,56734855.0,13430809.0,91539445
3,002230.XSHE,002230,科大讯飞,2016-10-21,213564324.225,23665345.0,7537505,12472416,-264748600.208,-72569363.0,-28214326,0,-51184275.983,-48904018.0,-20676821.0,12472416
4,002230.XSHE,002230,科大讯飞,2016-10-20,451678203.486,237999126.0,8355376,38419448,-329377513.187,-79283140.0,0,0,122300690.299,158715986.0,8355376.0,38419448
5,002230.XSHE,002230,科大讯飞,2016-10-19,252094293.151,115244329.0,5229810,54401498,-283543508.258,-126083938.0,-23699332,0,-31449215.107,-10839609.0,-18469522.0,54401498
6,002230.XSHE,002230,科大讯飞,2016-10-18,166575692.737,50932923.0,8025156,0,-170498353.683,-26602184.0,0,0,-3922660.946,24330739.0,8025156.0,0
7,002230.XSHE,002230,科大讯飞,2016-10-17,76680604.434,12602690.0,0,0,-122157476.936,-18710784.0,0,0,-45476872.502,-6108094.0,0.0,0
8,002230.XSHE,002230,科大讯飞,2016-10-14,128857069.972,25367438.0,0,0,-95039195.698,-15641116.0,0,0,33817874.274,9726322.0,0.0,0
9,002230.XSHE,002230,科大讯飞,2016-10-13,84926753.049,1147244.0,0,0,-114161756.291,-14015468.0,-5508751,0,-29235003.242,-12868224.0,-5508751.0,0
10,002230.XSHE,002230,科大讯飞,2016-10-12,79254609.9,6537244.0,0,0,-118719862.603,-14945178.0,0,0,-39465252.703,-8407934.0,0.0,0
11,002230.XSHE,002230,科大讯飞,2016-10-11,117431273.753,8321564.0,0,0,-131825165.037,-17984390.0,0,0,-14393891.284,-9662826.0,0.0,0
12,002230.XSHE,002230,科大讯飞,2016-10-10,154391983.058,36413889.0,5614731,0,-119614214.142,-7508193.0,-5784775,0,34777768.916,28905696.0,-170044.0,0
13,002230.XSHE,002230,科大讯飞,2016-09-30,56985344.273,1290892.0,0,0,-70069828.567,-22735879.0,0,0,-13084484.294,-21444987.0,0.0,0
14,002230.XSHE,002230,科大讯飞,2016-09-29,77795461.907,5698355.0,0,0,-67943876.933,-11292626.0,0,0,9851584.974,-5594271.0,0.0,0
15,002230.XSHE,002230,科大讯飞,2016-09-28,53830731.62,3600729.0,0,0,-66719084.05,-4056317.0,0,0,-12888352.43,-455588.0,0.0,0
16,002230.XSHE,002230,科大讯飞,2016-09-27,99377696.977,13496533.0,0,0,-89913694.073,-26881749.0,-6595594,0,9464002.904,-13385216.0,-6595594.0,0
17,002230.XSHE,002230,科大讯飞,2016-09-26,90226507.28,13876377.0,0,0,-140888019.08,-50138373.0,-5577930,0,-50661511.8,-36261996.0,-5577930.0,0
18,002230.XSHE,002230,科大讯飞,2016-09-23,67467506.969,5580169.0,0,0,-112252545.981,-24411355.0,0,0,-44785039.012,-18831186.0,0.0,0
19,002230.XSHE,002230,科大讯飞,2016-09-22,84979121.873,14339275.0,0,0,-100395189.687,-13025981.0,0,0,-15416067.814,1313294.0,0.0,0
20,002230.XSHE,002230,科大讯飞,2016-09-21,85238255.787,17927270.0,0,0,-71290260.633,-6314414.0,0,0,13947995.154,11612856.0,0.0,0
21,002230.XSHE,002230,科大讯飞,2016-09-20,53302027.103,0.0,0,0,-76528704.827,-9290588.0,0,0,-23226677.724,-9290588.0,0.0,0
22,002230.XSHE,002230,科大讯飞,2016-09-19,96986211.058,3939818.0,0,0,-90743090.382,-19938032.0,0,0,6243120.676,-15998214.0,0.0,0
23,002230.XSHE,002230,科大讯飞,2016-09-14,128773705.946,19392977.0,0,0,-103139362.604,-22398568.0,0,0,25634343.342,-3005591.0,0.0,0
24,002230.XSHE,002230,科大讯飞,2016-09-13,100100076.125,9694023.0,0,0,-89052696.255,-28525540.0,-5214637,0,11047379.87,-18831517.0,-5214637.0,0
25,002230.XSHE,002230,科大讯飞,2016-09-12,167558437.94,39096776.0,6212767,0,-208111307.95,-62063185.0,-10848620,-13221100,-40552870.01,-22966409.0,-4635853.0,-13221100
26,002230.XSHE,002230,科大讯飞,2016-09-09,101732688.788,10872298.0,0,0,-141598286.952,-69527086.0,-20667058,0,-39865598.164,-58654788.0,-20667058.0,0
27,002230.XSHE,002230,科大讯飞,2016-09-08,122372727.42,16398812.0,0,0,-142789056.34,-23333149.0,0,-13527303,-20416328.92,-6934337.0,0.0,-13527303
28,002230.XSHE,002230,科大讯飞,2016-09-07,153841045.331,42045286.0,6085823,0,-182953936.599,-29196760.0,0,0,-29112891.268,12848526.0,6085823.0,0
29,002230.XSHE,002230,科大讯飞,2016-09-06,197171923.244,77859430.0,12571274,0,-162024487.216,-12334335.0,0,0,35147436.028,65525095.0,12571274.0,0
30,002230.XSHE,002230,科大讯飞,2016-09-05,104470050.637,14738709.0,0,0,-111100726.283,-22789292.0,0,0,-6630675.646,-8050583.0,0.0,0
31,002230.XSHE,002230,科大讯飞,2016-09-02,109825147.123,7199173.0,0,0,-137302733.177,-34974361.0,-15925844,0,-27477586.054,-27775188.0,-15925844.0,0
32,002230.XSHE,002230,科大讯飞,2016-09-01,102211828.176,49111337.0,0,0,-148320347.134,-80909718.0,0,0,-46108518.958,-31798381.0,0.0,0
33,002230.XSHE,002230,科大讯飞,2016-08-31,114866070.965,20860932.0,5065716,0,-129940433.475,-24370112.0,-11962794,0,-15074362.51,-3509180.0,-6897078.0,0
34,002230.XSHE,002230,科大讯飞,2016-08-30,118280602.87,10413668.0,6191940,0,-134962327.35,-17244333.0,0,0,-16681724.48,-6830665.0,6191940.0,0
35,002230.XSHE,002230,科大讯飞,2016-08-29,123819176.274,29820956.0,0,0,-154252590.576,-39337591.0,-15774540,0,-30433414.302,-9516635.0,-15774540.0,0
36,002230.XSHE,002230,科大讯飞,2016-08-26,256074981.565,51654082.0,15517533,0,-326658772.415,-172885946.0,-29568402,-18909331,-70583790.85,-121231864.0,-14050869.0,-18909331
37,002230.XSHE,002230,科大讯飞,2016-08-25,313088865.573,137339659.0,17151472,12032433,-296782729.777,-66565989.0,0,0,16306135.796,70773670.0,17151472.0,12032433
38,002230.XSHE,002230,科大讯飞,2016-08-24,249512608.129,112660299.0,24193864,11110306,-204861186.736,-48574898.0,0,0,44651421.393,64085401.0,24193864.0,11110306
39,002230.XSHE,002230,科大讯飞,2016-08-23,130986386.832,19626213.0,0,0,-137342019.748,-34252620.0,0,0,-6355632.916,-14626407.0,0.0,0
40,002230.XSHE,002230,科大讯飞,2016-08-22,172868720.597,33878822.0,0,0,-214316185.524,-24384187.0,0,0,-41447464.927,9494635.0,0.0,0
41,002230.XSHE,002230,科大讯飞,2016-08-19,232259681.195,56937694.0,25340084,0,-243242402.815,-30345056.0,0,0,-10982721.62,26592638.0,25340084.0,0
42,002230.XSHE,002230,科大讯飞,2016-08-18,139234328.535,17322393.0,6418312,0,-188429326.555,-45924689.0,-7232236,0,-49194998.02,-28602296.0,-813924.0,0
43,002230.XSHE,002230,科大讯飞,2016-08-17,173633094.272,30980178.0,6598970,0,-216823640.038,-69016903.0,0,0,-43190545.766,-38036725.0,6598970.0,0
44,002230.XSHE,002230,科大讯飞,2016-08-16,272809805.731,146734853.0,5041538,18214029,-307497866.058,-85478448.0,0,-40338754,-34688060.327,61256405.0,5041538.0,-22124725
45,002230.XSHE,002230,科大讯飞,2016-08-15,356550324.247,192544361.0,50361417,36104891,-281633600.88,-69152212.0,-5968124,0,74916723.367,123392149.0,44393293.0,36104891
46,002230.XSHE,002230,科大讯飞,2016-08-12,139255196.083,15788803.0,0,0,-126418985.577,-22522123.0,-9311040,0,12836210.506,-6733320.0,-9311040.0,0
47,002230.XSHE,002230,科大讯飞,2016-08-11,116256492.631,20111299.0,0,0,-196248190.739,-57276091.0,-5707942,0,-79991698.108,-37164792.0,-5707942.0,0
48,002230.XSHE,002230,科大讯飞,2016-08-10,116780525.557,15831297.0,5315577,0,-159276619.563,-34301864.0,0,0,-42496094.006,-18470567.0,5315577.0,0
49,002230.XSHE,002230,科大讯飞,2016-08-09,168878757.072,33569798.0,0,0,-168646047.218,-74658898.0,0,0,232709.854,-41089100.0,0.0,0
50,002230.XSHE,002230,科大讯飞,2016-08-08,169812481.818,28627757.0,0,0,-133968491.392,-10208187.0,-6659282,0,35843990.426,18419570.0,-6659282.0,0
51,002230.XSHE,002230,科大讯飞,2016-08-05,98985593.57,9358352.0,0,0,-133683544.96,-28012184.0,-13023185,0,-34697951.39,-18653832.0,-13023185.0,0
52,002230.XSHE,002230,科大讯飞,2016-08-04,189485429.933,64117359.0,12063602,0,-164749009.907,-27282949.0,0,0,24736420.026,36834410.0,12063602.0,0
53,002230.XSHE,002230,科大讯飞,2016-08-03,110001371.999,9643494.0,0,0,-117143888.211,-13802643.0,0,0,-7142516.212,-4159149.0,0.0,0
54,002230.XSHE,002230,科大讯飞,2016-08-02,122568314.586,14516669.0,6011572,0,-114558195.984,-32746336.0,0,0,8010118.602,-18229667.0,6011572.0,0
55,002230.XSHE,002230,科大讯飞,2016-08-01,163359616.838,15840217.0,0,0,-183311718.543,-41439230.0,0,0,-19952101.705,-25599013.0,0.0,0
56,002230.XSHE,002230,科大讯飞,2016-07-29,205298817.739,19048088.0,5661464,0,-238301738.797,-87093376.0,-16782686,0,-33002921.058,-68045288.0,-11121222.0,0
57,002230.XSHE,002230,科大讯飞,2016-07-28,387804178.646,114865035.0,0,0,-429665277.881,-305184024.0,-29751364,-54869288,-41861099.235,-190318989.0,-29751364.0,-54869288
58,002230.XSHE,002230,科大讯飞,2016-07-27,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
59,002230.XSHE,002230,科大讯飞,2016-07-26,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
60,002230.XSHE,002230,科大讯飞,2016-07-25,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
61,002230.XSHE,002230,科大讯飞,2016-07-22,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
62,002230.XSHE,002230,科大讯飞,2016-07-21,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
63,002230.XSHE,002230,科大讯飞,2016-07-20,160997234.306,23802044.0,0,0,-187918872.994,-23744161.0,0,0,-26921638.688,57883.0,0.0,0
64,002230.XSHE,002230,科大讯飞,2016-07-19,177899516.838,24443962.0,0,0,-205437405.582,-51112903.0,-11876265,0,-27537888.744,-26668941.0,-11876265.0,0
65,002230.XSHE,002230,科大讯飞,2016-07-18,231821149.834,49343275.0,5011500,0,-287530099.203,-144003076.0,-42927898,-10349190,-55708949.369,-94659801.0,-37916398.0,-10349190
66,002230.XSHE,002230,科大讯飞,2016-07-15,428159598.128,309208500.0,15456048,96863765,-407127236.366,-170867125.0,-6253105,0,21032361.762,138341375.0,9202943.0,96863765
67,002230.XSHE,002230,科大讯飞,2016-07-14,175173110.48,26064776.0,15323995,0,-209653012.357,-57108944.0,-8935989,-13010257,-34479901.877,-31044168.0,6388006.0,-13010257
68,002230.XSHE,002230,科大讯飞,2016-07-13,318834302.969,114396312.0,9863146,17358628,-300124504.914,-90417842.0,-6514217,0,18709798.055,23978470.0,3348929.0,17358628
69,002230.XSHE,002230,科大讯飞,2016-07-12,289136440.717,66148720.0,0,0,-292459239.133,-116864033.0,-17337398,0,-3322798.416,-50715313.0,-17337398.0,0
70,002230.XSHE,002230,科大讯飞,2016-07-11,220379260.995,25949291.0,0,0,-285518612.485,-194953864.0,-24679535,0,-65139351.49,-169004573.0,-24679535.0,0
71,002230.XSHE,002230,科大讯飞,2016-07-08,200369470.758,69354945.0,8020640,0,-210844372.259,-38653599.0,0,-12306600,-10474901.501,30701346.0,8020640.0,-12306600
72,002230.XSHE,002230,科大讯飞,2016-07-07,272811924.699,74637133.0,25711128,0,-329805608.507,-149084233.0,-60341452,0,-56993683.808,-74447100.0,-34630324.0,0
73,002230.XSHE,002230,科大讯飞,2016-07-06,242070625.693,33320696.0,0,0,-312941485.931,-152806008.0,-54006378,0,-70870860.238,-119485312.0,-54006378.0,0
74,002230.XSHE,002230,科大讯飞,2016-07-05,214839735.606,38237359.0,9029692,0,-269953978.264,-91967051.0,-13726469,-11437606,-55114242.658,-53729692.0,-4696777.0,-11437606
75,002230.XSHE,002230,科大讯飞,2016-07-04,305506661.98,113047650.0,60454068,10345970,-301312512.707,-77437088.0,-5300577,0,4194149.273,35610562.0,55153491.0,10345970
76,002230.XSHE,002230,科大讯飞,2016-07-01,215105792.67,41966776.0,5761743,0,-284319509.06,-69674223.0,-32152535,0,-69213716.39,-27707447.0,-26390792.0,0
77,002230.XSHE,002230,科大讯飞,2016-06-30,259980103.774,94795047.0,24255194,44002575,-240720555.476,-73801655.0,0,0,19259548.298,20993392.0,24255194.0,44002575
78,002230.XSHE,002230,科大讯飞,2016-06-29,271090486.205,43319720.0,5302512,0,-329705368.699,-158450598.0,-9362822,0,-58614882.494,-115130878.0,-4060310.0,0
79,002230.XSHE,002230,科大讯飞,2016-06-28,470017001.51,240956211.0,37722381,0,-449921543.478,-168019663.0,-11806557,0,20095458.032,72936548.0,25915824.0,0
80,002230.XSHE,002230,科大讯飞,2016-06-27,306078779.798,123753814.0,18122643,0,-286195533.784,-72203047.0,-8290359,0,19883246.014,51550767.0,9832284.0,0
81,002230.XSHE,002230,科大讯飞,2016-06-24,363117309.577,124330853.0,8124207,14112979,-415063526.967,-196708710.0,-14638455,-28586103,-51946217.39,-72377857.0,-6514248.0,-14473124
82,002230.XSHE,002230,科大讯飞,2016-06-23,264876666.199,84421782.0,0,0,-291692183.941,-104228747.0,-5110490,-10235078,-26815517.742,-19806965.0,-5110490.0,-10235078
83,002230.XSHE,002230,科大讯飞,2016-06-22,300315151.196,100898592.0,6431421,22698380,-273028976.563,-50332379.0,-5099900,0,27286174.633,50566213.0,1331521.0,22698380
84,002230.XSHE,002230,科大讯飞,2016-06-21,304908779.231,81039428.0,12564369,23224038,-341866884.597,-175036591.0,-5008004,0,-36958105.366,-93997163.0,7556365.0,23224038
85,002230.XSHE,002230,科大讯飞,2016-06-20,292808923.525,92109716.0,0,15331116,-301253456.651,-149771664.0,0,0,-8444533.126,-57661948.0,0.0,15331116
86,002230.XSHE,002230,科大讯飞,2016-06-17,346102795.39,117233629.0,16655523,10051646,-399219143.704,-189294573.0,-37234278,0,-53116348.314,-72060944.0,-20578755.0,10051646
87,002230.XSHE,002230,科大讯飞,2016-06-16,389244923.274,84403246.0,6029060,23834252,-389057864.851,-179443268.0,-6907864,0,187058.423,-95040022.0,-878804.0,23834252
88,002230.XSHE,002230,科大讯飞,2016-06-15,498063998.797,367603681.0,18406230,32876966,-461018870.119,-133501134.0,-20624822,-10515270,37045128.678,234102547.0,-2218592.0,22361696
89,002230.XSHE,002230,科大讯飞,2016-06-14,413509406.537,148479481.0,0,18657974,-447577294.057,-278458087.0,-55944799,-17230443,-34067887.52,-129978606.0,-55944799.0,1427531
90,002230.XSHE,002230,科大讯飞,2016-06-13,562572762.763,330690918.0,11922879,0,-601538442.872,-534211045.0,-68307370,-28005913,-38965680.109,-203520127.0,-56384491.0,-28005913
91,002230.XSHE,002230,科大讯飞,2016-06-08,663037960.37,485556555.0,92259621,137440922,-541706093.606,-370387378.0,-35209191,0,121331866.764,115169177.0,57050430.0,137440922
92,002230.XSHE,002230,科大讯飞,2016-06-07,402157856.774,238271261.0,0,74607790,-408823093.869,-316304755.0,-54678691,-49173665,-6665237.095,-78033494.0,-54678691.0,25434125
93,002230.XSHE,002230,科大讯飞,2016-06-06,489594108.451,388492744.0,140234675,436791670,-540451859.249,-461925889.0,-65678016,-10794528,-50857750.798,-73433145.0,74556659.0,425997142
94,002230.XSHE,002230,科大讯飞,2016-06-03,552931722.466,538120382.0,77260680,0,-544265640.804,-269020764.0,-5540710,-25178476,8666081.662,269099618.0,71719970.0,-25178476
95,002230.XSHE,002230,科大讯飞,2016-06-02,306568800.228,54942018.0,6043665,0,-329864445.172,-80903709.0,-6381648,0,-23295644.944,-25961691.0,-337983.0,0
96,002230.XSHE,002230,科大讯飞,2016-06-01,453991949.318,172433219.0,33176254,0,-449308726.559,-146741015.0,-5093562,-15410858,4683222.759,25692204.0,28082692.0,-15410858
97,002230.XSHE,002230,科大讯飞,2016-05-31,433533828.716,223866401.0,57871465,15297649,-372508985.105,-60618342.0,0,0,61024843.611,163248059.0,57871465.0,15297649
98,002230.XSHE,002230,科大讯飞,2016-05-30,181238288.23,18573692.0,0,0,-220699564.25,-32655565.0,-5946429,0,-39461276.02,-14081873.0,-5946429.0,0
