,secID,ticker,secShortName,exchangeCD,secShortNameEn,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,isOpen
0,002230.XSHE,002230,科大讯飞,XSHE,,2008-05-12,1.425,12.66,3.176,3.509,3.176,3.412,18212540,541669820.0,18825,0.8495,0.1125687733,649846400.0,3248201460.0,1
1,002230.XSHE,002230,科大讯飞,XSHE,,2008-05-13,3.412,30.31,3.428,3.753,3.423,3.753,4998231,159771424.0,4349,0.2331,0.1125687733,714809600.0,3572914440.0,1
2,002230.XSHE,002230,科大讯飞,XSHE,,2008-05-14,3.753,33.34,3.85,3.938,3.636,3.822,4922130,164265616.0,5486,0.2296,0.1125687733,727888000.0,3638285700.0,1
3,002230.XSHE,002230,科大讯飞,XSHE,,2008-05-15,3.822,33.95,3.765,4.041,3.765,3.827,4635873,160713648.0,4176,0.2162,0.1125687733,728960000.0,3643644000.0,1
4,002230.XSHE,002230,科大讯飞,XSHE,,2008-05-16,3.827,34.0,3.771,3.973,3.681,3.71,3477867,117697744.0,3610,0.1622,0.1125687733,706662400.0,3532191360.0,1
5,002230.XSHE,002230,科大讯飞,XSHE,,2008-05-19,3.71,32.96,3.77,4.082,3.72,4.082,2706178,94316536.0,2902,0.1262,0.1125687733,777414400.0,3885839160.0,1
6,002230.XSHE,002230,科大讯飞,XSHE,,2008-05-20,4.082,36.26,4.152,4.297,3.969,4.109,3350159,123501296.0,3821,0.1563,0.1125687733,782560000.0,3911559000.0,1
7,002230.XSHE,002230,科大讯飞,XSHE,,2008-05-21,4.109,36.5,4.131,4.165,3.917,4.148,2727333,98212400.0,2614,0.1272,0.1125687733,790064000.0,3949067100.0,1
8,002230.XSHE,002230,科大讯飞,XSHE,,2008-05-22,4.148,36.85,4.052,4.188,3.941,4.016,2299376,83469080.0,2025,0.1072,0.1125687733,764979200.0,3823682880.0,1
9,002230.XSHE,002230,科大讯飞,XSHE,,2008-05-23,4.016,35.68,3.949,4.236,3.949,4.21,2350531,86204256.0,2161,0.1096,0.1125687733,801856000.0,4008008400.0,1
10,002230.XSHE,002230,科大讯飞,XSHE,,2008-05-26,4.21,37.4,4.165,4.255,4.041,4.073,1072142,39240216.0,1242,0.05,0.1125687733,775699200.0,3877265880.0,1
11,002230.XSHE,002230,科大讯飞,XSHE,,2008-05-27,4.073,36.18,4.038,4.12,3.861,3.884,1002699,35070272.0,1350,0.0468,0.1125687733,739680000.0,3697227000.0,1
12,002230.XSHE,002230,科大讯飞,XSHE,,2008-05-28,3.884,34.5,3.89,4.03,3.772,3.94,898586,31234460.0,1052,0.0419,0.1125687733,750400000.0,3750810000.0,1
13,002230.XSHE,002230,科大讯飞,XSHE,,2008-05-29,3.94,35.0,3.895,4.109,3.872,4.074,837634,30003548.0,1132,0.0391,0.1125687733,775913600.0,3878337540.0,1
14,002230.XSHE,002230,科大讯飞,XSHE,,2008-05-30,4.074,36.19,4.03,4.185,4.03,4.13,807523,29505652.0,1064,0.0377,0.1125687733,786633600.0,3931920540.0,1
15,002230.XSHE,002230,科大讯飞,XSHE,,2008-06-02,4.13,36.69,4.107,4.116,3.964,4.082,487290,17483472.0,783,0.0227,0.1125687733,777414400.0,3885839160.0,1
16,002230.XSHE,002230,科大讯飞,XSHE,,2008-06-03,4.082,36.26,4.064,4.475,4.055,4.354,1597372,61035620.0,2191,0.0745,0.1125687733,829299200.0,4145180880.0,1
17,002230.XSHE,002230,科大讯飞,XSHE,,2008-06-04,4.354,38.68,4.328,4.362,4.168,4.307,881802,33519118.0,1295,0.0411,0.1125687733,820294400.0,4100171160.0,1
18,002230.XSHE,002230,科大讯飞,XSHE,,2008-06-05,4.307,38.26,4.244,4.377,4.171,4.334,567628,21575724.0,1163,0.0265,0.1125687733,825440000.0,4125891000.0,1
19,002230.XSHE,002230,科大讯飞,XSHE,,2008-06-06,4.334,38.5,4.412,4.475,4.306,4.368,634327,24751934.0,1170,0.0296,0.1125687733,831872000.0,4158040800.0,1
20,002230.XSHE,002230,科大讯飞,XSHE,,2008-06-10,4.368,38.8,4.239,4.333,3.94,4.152,1176500,42927016.0,1687,0.0549,0.1125687733,790707200.0,3952282080.0,1
21,002230.XSHE,002230,科大讯飞,XSHE,,2008-06-11,4.152,36.88,4.054,4.161,3.884,4.041,1232929,44124564.0,1227,0.0575,0.1125687733,769696000.0,3847259400.0,1
22,002230.XSHE,002230,科大讯飞,XSHE,,2008-06-12,4.041,35.9,3.988,4.041,3.831,4.007,700601,24486150.0,1103,0.0327,0.1125687733,763264000.0,3815109600.0,1
23,002230.XSHE,002230,科大讯飞,XSHE,,2008-06-13,4.007,35.6,3.986,3.991,3.637,3.714,1469408,49327860.0,1403,0.0685,0.1125687733,707305600.0,3535406340.0,1
24,002230.XSHE,002230,科大讯飞,XSHE,,2008-06-16,3.714,32.99,3.671,3.714,3.378,3.625,1820979,56927760.0,1563,0.0849,0.1125687733,690368000.0,3450745200.0,1
25,002230.XSHE,002230,科大讯飞,XSHE,,2008-06-17,3.625,32.2,3.558,3.624,3.409,3.411,345980,10744427.0,605,0.0161,0.1125687733,649632000.0,3247129800.0,1
26,002230.XSHE,002230,科大讯飞,XSHE,,2008-06-18,3.411,30.3,3.379,3.599,3.219,3.59,631943,19211650.0,1019,0.0295,0.1125687733,683721600.0,3417523740.0,1
27,002230.XSHE,002230,科大讯飞,XSHE,,2008-06-19,3.59,31.89,3.49,3.54,3.233,3.33,531042,15755302.0,878,0.0248,0.1125687733,634195200.0,3169970280.0,1
28,002230.XSHE,002230,科大讯飞,XSHE,,2008-06-20,3.33,29.58,3.293,3.535,3.119,3.415,487879,14484568.0,838,0.0228,0.1125687733,650489600.0,3251416440.0,1
29,002230.XSHE,002230,科大讯飞,XSHE,,2008-06-23,3.415,30.34,3.321,3.398,3.264,3.36,348145,10318037.0,632,0.0162,0.1125687733,639984000.0,3198905100.0,1
30,002230.XSHE,002230,科大讯飞,XSHE,,2008-06-24,3.36,29.85,3.343,3.545,3.298,3.535,558432,17197718.0,673,0.026,0.1125687733,673216000.0,3365012400.0,1
31,002230.XSHE,002230,科大讯飞,XSHE,,2008-06-25,3.535,31.4,3.491,3.622,3.436,3.58,471032,14873548.0,731,0.022,0.1125687733,681792000.0,3407878800.0,1
32,002230.XSHE,002230,科大讯飞,XSHE,,2008-06-26,3.58,31.8,3.58,3.589,3.411,3.512,641741,19945632.0,946,0.0299,0.1125687733,668928000.0,3343579200.0,1
33,002230.XSHE,002230,科大讯飞,XSHE,,2008-06-27,3.512,31.2,3.377,3.47,3.31,3.312,381986,11565177.0,578,0.0178,0.1125687733,630764800.0,3152823720.0,1
34,002230.XSHE,002230,科大讯飞,XSHE,,2008-06-30,3.312,29.42,3.326,3.397,3.215,3.387,217617,6450683.0,286,0.0081,0.1125687733,806412000.0,3224624940.0,1
35,002230.XSHE,002230,科大讯飞,XSHE,,2008-07-01,3.387,30.09,3.387,3.388,3.264,3.377,144180,4255158.0,322,0.0054,0.1125687733,804000000.0,3214980000.0,1
36,002230.XSHE,002230,科大讯飞,XSHE,,2008-07-02,3.377,30.0,3.377,3.487,3.333,3.44,197415,6020739.0,288,0.0074,0.1125687733,819008000.0,3274992960.0,1
37,002230.XSHE,002230,科大讯飞,XSHE,,2008-07-03,3.44,30.56,3.341,3.602,3.302,3.557,511395,16040704.0,567,0.0191,0.1125687733,846880000.0,3386445600.0,1
38,002230.XSHE,002230,科大讯飞,XSHE,,2008-07-04,3.557,31.6,3.512,3.523,3.4,3.442,215576,6619181.0,377,0.008,0.1125687733,819544000.0,3277136280.0,1
39,002230.XSHE,002230,科大讯飞,XSHE,,2008-07-07,3.442,30.58,3.544,3.598,3.468,3.513,425147,13358120.0,506,0.0159,0.1125687733,836428000.0,3344650860.0,1
40,002230.XSHE,002230,科大讯飞,XSHE,,2008-07-08,3.513,31.21,3.523,3.602,3.512,3.602,780133,24559414.0,623,0.0291,0.1125687733,857600000.0,3429312000.0,1
41,002230.XSHE,002230,科大讯飞,XSHE,,2008-07-09,3.602,32.0,3.653,3.658,3.478,3.57,697438,21955924.0,1064,0.026,0.1125687733,849828000.0,3398233860.0,1
42,002230.XSHE,002230,科大讯飞,XSHE,,2008-07-10,3.57,31.71,3.512,3.864,3.503,3.805,1026309,33313270.0,1336,0.0383,0.1125687733,905840000.0,3622210800.0,1
43,002230.XSHE,002230,科大讯飞,XSHE,,2008-07-11,3.805,33.8,3.679,3.912,3.679,3.906,809875,27425338.0,1008,0.0302,0.1125687733,929960000.0,3718660200.0,1
44,002230.XSHE,002230,科大讯飞,XSHE,,2008-07-14,3.906,34.7,3.895,3.992,3.841,3.94,697997,24377452.0,689,0.026,0.1125687733,938000000.0,3750810000.0,1
45,002230.XSHE,002230,科大讯飞,XSHE,,2008-07-15,3.94,35.0,3.929,3.946,3.692,3.805,367863,12426969.0,679,0.0137,0.1125687733,905840000.0,3622210800.0,1
46,002230.XSHE,002230,科大讯飞,XSHE,,2008-07-16,3.805,33.8,3.737,3.794,3.529,3.625,246096,7952947.0,454,0.0092,0.1125687733,862960000.0,3450745200.0,1
47,002230.XSHE,002230,科大讯飞,XSHE,,2008-07-17,3.625,32.2,3.68,3.69,3.53,3.53,165303,5300708.0,350,0.0062,0.1125687733,840448000.0,3360725760.0,1
48,002230.XSHE,002230,科大讯飞,XSHE,,2008-07-18,3.53,31.36,3.534,3.638,3.491,3.608,141839,4488331.0,308,0.0053,0.1125687733,858940000.0,3434670300.0,1
49,002230.XSHE,002230,科大讯飞,XSHE,,2008-07-21,3.608,32.05,3.608,3.765,3.58,3.726,314346,10338411.0,420,0.0117,0.1125687733,887080000.0,3547194600.0,1
50,002230.XSHE,002230,科大讯飞,XSHE,,2008-07-22,3.726,33.1,3.692,3.764,3.66,3.672,129874,4257683.0,228,0.0048,0.1125687733,874216000.0,3495754920.0,1
51,002230.XSHE,002230,科大讯飞,XSHE,,2008-07-23,3.672,32.62,3.645,3.741,3.645,3.666,162320,5331236.0,217,0.0061,0.1125687733,872876000.0,3490396620.0,1
52,002230.XSHE,002230,科大讯飞,XSHE,,2008-07-24,3.666,32.57,3.674,3.735,3.654,3.682,462466,15259795.0,430,0.0173,0.1125687733,876628000.0,3505399860.0,1
53,002230.XSHE,002230,科大讯飞,XSHE,,2008-07-25,3.682,32.71,3.692,3.867,3.682,3.771,311721,10435192.0,363,0.0116,0.1125687733,897800000.0,3590061000.0,1
54,002230.XSHE,002230,科大讯飞,XSHE,,2008-07-28,3.771,33.5,3.805,3.864,3.717,3.827,291691,9865125.0,362,0.0109,0.1125687733,911200000.0,3643644000.0,1
55,002230.XSHE,002230,科大讯飞,XSHE,,2008-07-29,3.827,34.0,3.827,3.827,3.752,3.804,137303,4618374.0,254,0.0051,0.1125687733,905572000.0,3621139140.0,1
