,tradeDate,secID,ticker,assetClass,exchangeCD,secShortName,currencyCD,finVal,finBuyVal,finRefundVal,secVol,secSellVol,secRefundVol,secVal,tradeVal
0,2016-10-25,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2665954362,223733837,190735566,224978,68200,128900,7030563,2672984925
1,2016-10-24,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2632956091,340075956,262704763,285678,128800,60700,8810310,2641766401
2,2016-10-21,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2555584898,140358477,129107363,217578,13100,106283,6529516,2562114414
3,2016-10-20,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2544333784,196757974,155751599,310761,105400,80192,9456457,2553790241
4,2016-10-19,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2503327409,154903419,141602558,285553,160200,2000,8400969,2511728378
5,2016-10-18,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2490026548,117699922,71481269,127353,2000,9700,3711067,2493737615
6,2016-10-17,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2443807895,54808414,54547170,135053,9500,32700,3903032,2447710927
7,2016-10-14,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2443546651,44831897,74210787,158253,32700,2600,4639978,2448186629
8,2016-10-13,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2472925541,61478477,44465379,128153,10000,0,3736941,2476662482
9,2016-10-12,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2455912443,59031438,47376303,118153,200,0,3453612,2459366055
10,2016-10-11,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2444257308,58904655,71522129,117953,0,50000,3460741,2447718049
11,2016-10-10,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2456874782,66910386,63434435,167953,65000,12521,4919343,2461794125
12,2016-09-30,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2453398831,22179329,70439277,115474,0,1300,3282926,2456681757
13,2016-09-29,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2501658779,33045478,60154513,116774,0,0,3319885,2504978664
14,2016-09-28,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2528767814,22721389,33866972,116774,0,50000,3318717,2532086531
15,2016-09-27,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2539913397,47988572,60694358,166774,3100,61300,4759730,2544673127
16,2016-09-26,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2552619183,64935438,93784725,224974,15200,37500,6366764,2558985947
17,2016-09-23,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2581468470,55133565,63564644,247274,37500,0,7178364,2588646834
18,2016-09-22,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2589899549,46955675,75343579,209774,12540,33900,6165258,2596064807
19,2016-09-21,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2618287453,40124972,52772509,231134,30000,0,6765292,2625052745
20,2016-09-20,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2630934990,31878431,36433321,201134,3800,2500,5859033,2636794023
21,2016-09-19,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2635489880,49407922,46162958,199834,22400,12400,5851140,2641341020
22,2016-09-14,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2632244916,49524670,70024194,189834,8600,19800,5522271,2637767187
23,2016-09-13,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2652744440,36902351,57818594,201034,5000,0,5836017,2658580457
24,2016-09-12,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2673660683,132234316,111049949,196034,4000,0,5651660,2679312343
25,2016-09-09,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2652476316,88615490,89500022,192034,4300,6000,5714932,2658191248
26,2016-09-08,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2653360848,61163848,83465157,193734,0,55800,5843017,2659203865
27,2016-09-07,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2675662157,96782790,85915265,249534,42600,8000,7563376,2683225533
28,2016-09-06,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2664794632,136689616,104852740,214934,46700,38336,6559785,2671354417
29,2016-09-05,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2632957756,54536493,66929224,206570,36800,10600,6145458,2639103214
30,2016-09-02,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2645350487,59733254,71477767,180370,1300,10000,5362400,2650712887
31,2016-09-01,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2657095000,114711654,93389237,189070,15700,0,5691007,2662786007
32,2016-08-31,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2635772583,90251920,93474790,173370,200,20000,5265247,2641037830
33,2016-08-30,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2638995453,58189845,57082783,193170,20000,4200,5854983,2644850436
34,2016-08-29,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2637888391,96187849,84921014,177370,25000,10000,5363669,2643252060
35,2016-08-26,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2626621556,181462510,200523560,162370,0,53500,4942543,2631564099
36,2016-08-25,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2645682606,181944292,149716123,215870,30000,130800,6758890,2652441496
37,2016-08-24,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2613454437,147896766,112831456,316670,130500,500,9785103,2623239540
38,2016-08-23,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2578389127,82240133,65193091,186670,1700,0,5654234,2584043361
39,2016-08-22,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2561342085,103733130,101234664,184970,7500,134300,5613840,2566955925
40,2016-08-19,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2558843619,118562305,102623784,311770,153900,12600,9537044,2568380663
41,2016-08-18,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2542905098,103567054,92991131,170470,7400,1300,5149899,2548054997
42,2016-08-17,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2532329175,102262017,108161592,164370,500,46100,4998492,2537327667
43,2016-08-16,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2538228750,245526718,155945516,209970,40500,98600,6450278,2544679028
44,2016-08-15,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2448647548,285933755,170888985,268070,135600,35600,8095714,2456743262
45,2016-08-12,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2333602778,51341562,67139584,168070,20100,27200,4840416,2338443194
46,2016-08-11,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2349400800,74139602,80541445,175170,6500,20600,5023876,2354424676
47,2016-08-10,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2355802643,60252074,72811595,189270,20600,25300,5562645,2361365288
48,2016-08-09,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2368362164,105652892,73195561,193970,25300,79362,5747331,2374109495
49,2016-08-08,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2335904833,66509255,66774760,248032,79862,2800,7334306,2343239139
50,2016-08-05,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2336170338,55442551,63016473,170970,0,60527,4954711,2341125049
51,2016-08-04,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2343744260,86746934,85772947,231497,75038,10000,6764342,2350508602
52,2016-08-03,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2342770273,52894848,51089362,166459,11039,20000,4770715,2347540988
53,2016-08-02,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2340964787,55765438,55798616,175420,27800,4700,5025784,2345990571
54,2016-08-01,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2340997965,76019260,96905933,152320,6000,36400,4347213,2345345178
55,2016-07-29,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2361884638,99267422,107227300,182720,44700,36800,5298880,2367183518
56,2016-07-28,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2369844516,211548426,225840102,174820,134200,300,5143204,2374987720
57,2016-07-27,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2384136192,0,42386618,40920,0,0,1294709,2385430901
58,2016-07-26,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2426522810,0,30220867,40920,0,14100,1294709,2427817519
59,2016-07-25,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2456743677,0,30819696,55020,0,0,1740833,2458484510
60,2016-07-22,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2487563373,0,36368422,55020,0,65000,1740833,2489304206
61,2016-07-21,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2523931795,0,43937881,120020,0,55400,3797433,2527729228
62,2016-07-20,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2567869676,92996944,91773795,175420,300,0,5550289,2573419965
63,2016-07-19,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2566646527,104000338,90893195,175120,14100,15000,5540797,2572187324
64,2016-07-18,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2553539384,159215655,163341006,176020,15000,73400,5569273,2559108657
65,2016-07-15,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2557664735,301224828,307449806,234420,88100,35100,7555357,2565220092
66,2016-07-14,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2563889713,117294820,159361523,181420,0,10000,5732872,2569622585
67,2016-07-13,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2605956416,222211422,184473151,191420,35000,24100,6066100,2612022516
68,2016-07-12,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2568218145,188205718,189711094,180520,34100,45262,5675549,2573893694
69,2016-07-11,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2569723521,134697547,158824580,191682,3500,24200,5970895,2575694416
70,2016-07-08,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2593850554,115972087,190377988,212382,58562,30000,6753748,2600604302
71,2016-07-07,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2668256455,245878246,170850430,183820,30000,29100,5816065,2674072520
72,2016-07-06,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2593228639,180673807,143746704,182920,29100,0,5873562,2599102201
73,2016-07-05,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2556301536,147362123,165084333,153820,0,44100,5036067,2561337603
74,2016-07-04,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2574023746,239624599,191219430,197920,37100,0,6521465,2580545211
75,2016-07-01,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2525618577,137687131,162585625,160820,7000,29300,5200919,2530819496
76,2016-06-30,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2550517071,190753404,166538491,183120,29300,43300,6015493,2556532564
77,2016-06-29,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2526302158,181540946,169386667,197120,20300,23000,6382746,2532684904
78,2016-06-28,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2514147879,353022106,272189485,199820,26200,24100,6552098,2520699977
79,2016-06-27,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2433315258,187439453,159531047,197720,24100,10000,6323086,2439638344
80,2016-06-24,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2405406852,259641902,266798420,183620,10000,20600,5749143,2411155995
81,2016-06-23,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2412563370,168916287,204233046,194220,6500,0,6216983,2418780353
82,2016-06-22,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2447880129,155999730,156790299,187720,0,48750,6078374,2453958503
83,2016-06-21,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2448670698,220669986,214392555,236470,41000,9100,7444076,2456114774
84,2016-06-20,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2442393267,168943704,200684342,204570,9200,35500,6542149,2448935416
85,2016-06-17,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2474133905,264302533,241561728,230870,35600,15100,7487114,2481621019
86,2016-06-16,002230.XSHE,002230,E,XSHE,科大讯飞,CNY,2451393100,233271772,256287426,210370,16100,45100,6940106,2458333206
