,secID,ticker,secShortName,exchangeCD,partyID,changeDate,totalShares,sharesA,sharesB,floatA,nonrestfloatA,floatB,restShares,nonrestFloatShares
0,000333.XSHE,000333,美的集团,XSHE,3522,2016-09-19,6424934300,6424934300,,6424934300,6341691900.0,,83242400.0,6341691900
1,000333.XSHE,000333,美的集团,XSHE,3522,2016-06-30,6424934300,6424934300,,6424934300,3384816900.0,,3040117400.0,3384816900
2,000333.XSHE,000333,美的集团,XSHE,3522,2016-05-06,6401086800,6401086800,,6401086800,3361571200.0,,3039515600.0,3361571200
3,000333.XSHE,000333,美的集团,XSHE,3522,2015-12-31,4266839500,4266839500,,4266839500,2240495700.0,,2026343800.0,2240495700
4,000333.XSHE,000333,美的集团,XSHE,3522,2015-08-06,4265714600,4265714600,,4265714600,2239370800.0,,2026343800.0,2239370800
5,000333.XSHE,000333,美的集团,XSHE,3522,2015-07-31,4265714504,4265714504,0.0,4265714504,2239370754.0,,2026343750.0,2239370754
6,000333.XSHE,000333,美的集团,XSHE,3522,2015-06-30,4290122600,4290122600,,4290122600,2263778800.0,,2026343800.0,2263778800
7,000333.XSHE,000333,美的集团,XSHE,3522,2015-06-26,4290122600,4290122600,,4290122600,2263778800.0,,2026343800.0,2263778800
8,000333.XSHE,000333,美的集团,XSHE,3522,2014-12-31,4215808472,4215808472,0.0,4215808472,2242735943.0,,1973072529.0,2242735943
9,000333.XSHE,000333,美的集团,XSHE,3522,2014-09-18,4215808472,4215808472,,4215808472,2238521375.0,,1977287097.0,2238521375
10,000333.XSHE,000333,美的集团,XSHE,3522,2014-06-30,4215808472,4215808472,,4215808472,1710957395.0,,2504851077.0,1710957395
11,000333.XSHE,000333,美的集团,XSHE,3522,2014-04-30,4215808472,4215808472,,4215808472,1715795072.0,,2500013400.0,1715795072
12,000333.XSHE,000333,美的集团,XSHE,3522,2014-04-18,1686323389,1686323389,,1686323389,686318029.0,,1000005360.0,686318029
13,000333.XSHE,000333,美的集团,XSHE,3522,2013-12-31,1686323389,1686323389,,1686323389,686317909.0,,1000005480.0,686317909
14,000333.XSHE,000333,美的集团,XSHE,3522,2013-09-18,1686323389,1686323389,,1686323389,686317909.0,,1000005480.0,686317909
15,000333.XSHE,000333,美的集团,XSHE,3522,2013-06-30,1000000000,1000000000,,1000000000,,,,0
16,000333.XSHE,000333,美的集团,XSHE,3522,2012-12-31,1000000000,1000000000,,1000000000,,,,0
