,tradeDate,secID,ticker,assetClass,exchangeCD,secFullName,currencyCD,tradePrice,tradeVal,tradeVol,buyerBD,sellerBD
0,2014-04-08,000333.XSHE,000333,E,XSHE,美的集团,CNY,50.58,1669.14,33.0,中国银河证券股份有限公司杭州新塘路证券营业部,华西证券有限责任公司杭州学院路证券营业部
1,2014-05-30,000333.XSHE,000333,E,XSHE,美的集团,CNY,17.42,269.14,15.45,机构专用,机构专用
2,2014-06-12,000333.XSHE,000333,E,XSHE,美的集团,CNY,18.43,3098.08,168.1,机构专用,机构专用
3,2014-07-09,000333.XSHE,000333,E,XSHE,美的集团,CNY,19.05,988.89,51.91,瑞银证券有限责任公司上海花园石桥路证券营业部,瑞银证券有限责任公司上海花园石桥路证券营业部
4,2014-07-10,000333.XSHE,000333,E,XSHE,美的集团,CNY,18.86,1958.05,103.82,瑞银证券有限责任公司上海花园石桥路证券营业部,瑞银证券有限责任公司上海花园石桥路证券营业部
5,2014-07-14,000333.XSHE,000333,E,XSHE,美的集团,CNY,18.72,803.46,42.92,瑞银证券有限责任公司上海花园石桥路证券营业部,机构专用
6,2014-09-23,000333.XSHE,000333,E,XSHE,美的集团,CNY,20.4,306.0,15.0,机构专用,机构专用
7,2014-09-24,000333.XSHE,000333,E,XSHE,美的集团,CNY,20.7,2277.0,110.0,机构专用,机构专用
8,2014-10-29,000333.XSHE,000333,E,XSHE,美的集团,CNY,20.44,817.6,40.0,机构专用,机构专用
9,2014-11-21,000333.XSHE,000333,E,XSHE,美的集团,CNY,21.8,301.06,13.81,机构专用,机构专用
10,2014-11-28,000333.XSHE,000333,E,XSHE,美的集团,CNY,22.11,263.55,11.92,机构专用,机构专用
11,2014-12-04,000333.XSHE,000333,E,XSHE,美的集团,CNY,22.93,1107.98,48.32,中信建投证券股份有限公司北京南大红门路证券营业部,招商证券股份有限公司北京安立路证券营业部
12,2014-12-15,000333.XSHE,000333,E,XSHE,美的集团,CNY,22.48,1712.98,76.2,中信建投证券股份有限公司北京南大红门路证券营业部,招商证券交易单元(353800)
13,2014-12-17,000333.XSHE,000333,E,XSHE,美的集团,CNY,25.47,636.75,25.0,机构专用,北京高华证券有限责任公司北京金融大街证券营业部
14,2014-12-26,000333.XSHE,000333,E,XSHE,美的集团,CNY,27.12,6208.58,228.93,中国国际金融有限公司上海淮海中路证券营业部,机构专用
15,2014-12-29,000333.XSHE,000333,E,XSHE,美的集团,CNY,27.64,542.3,19.62,机构专用,机构专用
16,2014-12-30,000333.XSHE,000333,E,XSHE,美的集团,CNY,26.84,467.02,17.4,机构专用,机构专用
17,2015-01-12,000333.XSHE,000333,E,XSHE,美的集团,CNY,28.0,14544.72,519.45,中国国际金融有限公司上海淮海中路证券营业部,机构专用
18,2015-02-27,000333.XSHE,000333,E,XSHE,美的集团,CNY,31.46,18876.0,600.0,机构专用,机构专用
19,2015-03-10,000333.XSHE,000333,E,XSHE,美的集团,CNY,29.85,8495.6,284.61,机构专用,机构专用
20,2015-04-07,000333.XSHE,000333,E,XSHE,美的集团,CNY,34.15,1945.53,56.97,机构专用,机构专用
21,2015-05-07,000333.XSHE,000333,E,XSHE,美的集团,CNY,34.88,349.35,10.02,机构专用,机构专用
22,2015-05-12,000333.XSHE,000333,E,XSHE,美的集团,CNY,35.46,34396.2,970.0,机构专用,机构专用
23,2015-05-22,000333.XSHE,000333,E,XSHE,美的集团,CNY,38.12,29733.6,780.0,机构专用,机构专用
24,2015-05-27,000333.XSHE,000333,E,XSHE,美的集团,CNY,39.63,10236.12,258.29,机构专用,机构专用
25,2015-06-01,000333.XSHE,000333,E,XSHE,美的集团,CNY,38.4,7357.23,191.59,机构专用,机构专用
26,2015-06-02,000333.XSHE,000333,E,XSHE,美的集团,CNY,38.44,31437.39,817.83,机构专用,机构专用
27,2015-07-08,000333.XSHE,000333,E,XSHE,美的集团,CNY,30.81,37003.66,1201.03,机构专用,机构专用
28,2015-07-10,000333.XSHE,000333,E,XSHE,美的集团,CNY,36.76,259.53,7.06,机构专用,机构专用
29,2015-07-23,000333.XSHE,000333,E,XSHE,美的集团,CNY,34.85,310.69,8.91,机构专用,机构专用
30,2015-07-24,000333.XSHE,000333,E,XSHE,美的集团,CNY,34.36,1367.53,39.8,机构专用,机构专用
31,2015-07-29,000333.XSHE,000333,E,XSHE,美的集团,CNY,33.42,371.63,11.12,机构专用,机构专用
32,2015-07-31,000333.XSHE,000333,E,XSHE,美的集团,CNY,33.15,671.66,20.26,机构专用,机构专用
33,2015-08-12,000333.XSHE,000333,E,XSHE,美的集团,CNY,33.51,11426.91,341.0,机构专用,机构专用
34,2015-08-14,000333.XSHE,000333,E,XSHE,美的集团,CNY,33.3,2566.31,77.07,机构专用,机构专用
35,2015-08-14,000333.XSHE,000333,E,XSHE,美的集团,CNY,33.3,1426.91,42.85,机构专用,机构专用
36,2015-08-20,000333.XSHE,000333,E,XSHE,美的集团,CNY,30.01,454.63,15.15,机构专用,机构专用
37,2015-09-01,000333.XSHE,000333,E,XSHE,美的集团,CNY,28.83,38199.75,1325.0,机构专用,机构专用
38,2015-09-01,000333.XSHE,000333,E,XSHE,美的集团,CNY,28.83,307.62,10.67,机构专用,机构专用
39,2015-11-13,000333.XSHE,000333,E,XSHE,美的集团,CNY,28.99,5708.74,196.92,机构专用,机构专用
40,2016-03-24,000333.XSHE,000333,E,XSHE,美的集团,CNY,30.87,1327.41,43.0,中国国际金融股份有限公司上海淮海中路证券营业部,中国国际金融股份有限公司上海淮海中路证券营业部
