,secID,ticker,secShortName,tradeDate,inflowS,inflowM,inflowL,inflowXl,outflowS,outflowM,outflowL,outflowXl,netInflowS,netInflowM,netInflowL,netInflowXl
0,000333.XSHE,000333,美的集团,2016-10-26,181874196.432,56435701,0,0,-199006100.138,-41940574,-10867345,0,-17131903.706,14495127.0,-10867345,0
1,000333.XSHE,000333,美的集团,2016-10-25,313176102.551,93031667,21351525,0,-278519312.152,-70266086,0,0,34656790.399,22765581.0,21351525,0
2,000333.XSHE,000333,美的集团,2016-10-24,302016458.261,102373338,28982166,0,-399597502.009,-73976972,-15467823,0,-97581043.748,28396366.0,13514343,0
3,000333.XSHE,000333,美的集团,2016-10-21,177634997.201,70353770,24054778,11670898,-262735514.029,-56682092,-5667306,0,-85100516.828,13671678.0,18387472,11670898
4,000333.XSHE,000333,美的集团,2016-10-20,179289272.777,38771396,9898640,0,-141235951.683,-33950452,0,0,38053321.094,4820944.0,9898640,0
5,000333.XSHE,000333,美的集团,2016-10-19,102871533.149,22629826,0,0,-194098759.87,-58665965,-20592835,0,-91227226.721,-36036139.0,-20592835,0
6,000333.XSHE,000333,美的集团,2016-10-18,196252817.1,55398567,6930050,0,-243762941.37,-92135530,0,0,-47510124.27,-36736963.0,6930050,0
7,000333.XSHE,000333,美的集团,2016-10-17,134850642.602,22086136,0,0,-167130037.298,-46265767,0,0,-32279394.696,-24179631.0,0,0
8,000333.XSHE,000333,美的集团,2016-10-14,147799432.907,45457188,0,0,-201819756.609,-53560331,-5595198,0,-54020323.702,-8103143.0,-5595198,0
9,000333.XSHE,000333,美的集团,2016-10-13,152230700.341,10680017,0,0,-310085064.509,-74234834,-33292897,-11173719,-157854364.168,-63554817.0,-33292897,-11173719
10,000333.XSHE,000333,美的集团,2016-10-12,89011381.974,16692641,0,0,-193616258.666,-25760473,0,0,-104604876.692,-9067832.0,0,0
11,000333.XSHE,000333,美的集团,2016-10-11,174878462.627,63937702,5542232,0,-282562986.563,-57410823,0,0,-107684523.936,6526879.0,5542232,0
12,000333.XSHE,000333,美的集团,2016-10-10,213543730.785,55056027,7899867,0,-264598485.795,-132063795,-23474696,0,-51054755.01,-77007768.0,-15574829,0
13,000333.XSHE,000333,美的集团,2016-09-30,225584822.312,79066558,15886522,0,-184282020.108,-32997572,-10577381,0,41302802.204,46068986.0,5309141,0
14,000333.XSHE,000333,美的集团,2016-09-29,149030109.952,39763960,10756946,0,-109092161.408,-12207808,0,0,39937948.544,27556152.0,10756946,0
15,000333.XSHE,000333,美的集团,2016-09-28,130939206.904,20258960,0,0,-121536393.136,-22030242,0,0,9402813.768,-1771282.0,0,0
16,000333.XSHE,000333,美的集团,2016-09-27,114464603.138,30079978,7867243,0,-103184861.342,-23978848,0,0,11279741.796,6101130.0,7867243,0
17,000333.XSHE,000333,美的集团,2016-09-26,110548148.52,14218737,0,0,-133143607.22,-32463819,-10701754,0,-22595458.7,-18245082.0,-10701754,0
18,000333.XSHE,000333,美的集团,2016-09-23,153587549.749,50013794,0,0,-111831788.85,-33230557,0,0,41755760.899,16783237.0,0,0
