,secID,ticker,secShortName,exchangeCD,secShortNameEn,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,isOpen
0,000333.XSHE,000333,美的集团,XSHE,,2013-09-18,10.671,44.56,9.699,11.112,9.55,10.115,38889752,1681303420.0,34465,0.0567,0.2394756675,28990068476.2,71230299951.4,1
1,000333.XSHE,000333,美的集团,XSHE,,2013-09-23,10.115,42.24,10.034,11.126,9.739,11.064,31851606,1406017540.0,37812,0.0464,0.2394756675,31707887395.8,77908140571.8,1
2,000333.XSHE,000333,美的集团,XSHE,,2013-09-24,11.064,46.2,10.894,11.052,10.633,10.683,20004514,901506370.0,29228,0.0291,0.2394756675,30616641920.5,75226886383.3,1
3,000333.XSHE,000333,美的集团,XSHE,,2013-09-25,10.683,44.61,10.539,11.289,10.537,10.788,17165136,781787200.0,26666,0.025,0.2394756675,30918621800.5,75968868674.4,1
4,000333.XSHE,000333,美的集团,XSHE,,2013-09-26,10.788,45.05,10.693,10.793,10.166,10.297,14680801,640034820.0,22529,0.0214,0.2394756675,29511670087.0,72511905727.0,1
5,000333.XSHE,000333,美的集团,XSHE,,2013-09-27,10.297,43.0,10.297,10.609,10.218,10.297,8561465,372250400.0,12203,0.0125,0.2394756675,29511670087.0,72511905727.0,1
6,000333.XSHE,000333,美的集团,XSHE,,2013-09-30,10.297,43.0,10.295,10.489,10.269,10.355,7668272,331344576.0,10125,0.0112,0.2394756675,29676386385.2,72916623340.4,1
7,000333.XSHE,000333,美的集团,XSHE,,2013-10-08,10.355,43.24,10.297,10.827,10.274,10.774,11112977,493442848.0,18748,0.0162,0.2394756675,30877442725.9,75867689271.1,1
8,000333.XSHE,000333,美的集团,XSHE,,2013-10-09,10.774,44.99,10.693,10.906,10.537,10.7,8305418,370734080.0,14154,0.0121,0.2394756675,30664684174.1,75344929020.5,1
9,000333.XSHE,000333,美的集团,XSHE,,2013-10-10,10.7,44.68,10.657,11.102,10.57,10.946,15625661,708889920.0,20333,0.0228,0.2394756675,31371591620.4,77081842111.2,1
10,000333.XSHE,000333,美的集团,XSHE,,2013-10-11,10.946,45.71,11.016,11.028,10.836,10.903,7969766,363516960.0,12832,0.0116,0.2394756675,31248054396.8,76778303901.2,1
11,000333.XSHE,000333,美的集团,XSHE,,2013-10-14,10.903,45.53,10.901,11.095,10.681,11.016,9646785,441424928.0,11925,0.0141,0.2394756675,31570623814.0,77570875894.0,1
12,000333.XSHE,000333,美的集团,XSHE,,2013-10-15,11.016,46.0,11.016,11.016,10.74,10.812,9241988,419089536.0,9825,0.0135,0.2394756675,30987253591.3,76137501013.4,1
13,000333.XSHE,000333,美的集团,XSHE,,2013-10-16,10.812,45.15,10.719,10.987,10.465,10.697,8918362,397199776.0,9370,0.013,0.2394756675,30657820995.0,75328065786.6,1
14,000333.XSHE,000333,美的集团,XSHE,,2013-10-17,10.697,44.67,10.7,10.8,10.59,10.683,5552669,247582784.0,11126,0.0081,0.2394756675,30616641920.5,75226886383.3,1
15,000333.XSHE,000333,美的集团,XSHE,,2013-10-18,10.683,44.61,10.661,11.207,10.609,11.018,10420989,478846144.0,14226,0.0152,0.2394756675,31577486993.1,77587739127.9,1
16,000333.XSHE,000333,美的集团,XSHE,,2013-10-21,11.018,46.01,11.064,11.519,10.939,11.459,13565868,638065980.0,17618,0.0198,0.2394756675,32840311945.7,80690574163.6,1
17,000333.XSHE,000333,美的集团,XSHE,,2013-10-22,11.459,47.85,11.351,11.569,11.227,11.356,8214741,390719936.0,12517,0.012,0.2394756675,32545195244.8,79965455106.4,1
