,tradeDate,secID,ticker,assetClass,exchangeCD,secShortName,currencyCD,finVal,finBuyVal,finRefundVal,secVol,secSellVol,secRefundVol,secVal,tradeVal
0,2016-10-25,000333.XSHE,000333,E,XSHE,美的集团,CNY,1879881904,53870863,96334058,284000,11000,11900,7611200,1887493104
1,2016-10-24,000333.XSHE,000333,E,XSHE,美的集团,CNY,1922345099,77117035,127789496,284900,18300,13000,7595434,1929940533
2,2016-10-21,000333.XSHE,000333,E,XSHE,美的集团,CNY,1973017560,59759234,79641645,279600,7500,2000,7375848,1980393408
3,2016-10-20,000333.XSHE,000333,E,XSHE,美的集团,CNY,1992899971,32648612,36450979,274100,5000,10900,7195126,2000095097
4,2016-10-19,000333.XSHE,000333,E,XSHE,美的集团,CNY,1996702338,61622665,47691081,280000,48900,5500,7319200,2004021538
5,2016-10-18,000333.XSHE,000333,E,XSHE,美的集团,CNY,1982770754,79745487,36175539,236600,25600,46000,6234411,1989005165
6,2016-10-17,000333.XSHE,000333,E,XSHE,美的集团,CNY,1939200806,26856815,32608476,257000,9500,141000,6751391,1945952197
7,2016-10-14,000333.XSHE,000333,E,XSHE,美的集团,CNY,1944952467,37386322,32295274,388500,35300,47500,10244746,1955197213
8,2016-10-13,000333.XSHE,000333,E,XSHE,美的集团,CNY,1939861419,74897616,39144121,400700,53900,10600,10538410,1950399829
9,2016-10-12,000333.XSHE,000333,E,XSHE,美的集团,CNY,1904107924,40228259,19522413,357400,40000,6200,9581895,1913689819
10,2016-10-11,000333.XSHE,000333,E,XSHE,美的集团,CNY,1883402078,69032785,35767487,323600,84900,17700,8737200,1892139278
11,2016-10-10,000333.XSHE,000333,E,XSHE,美的集团,CNY,1850136780,113983494,46922749,256400,28300,84200,6909981,1857046761
12,2016-09-30,000333.XSHE,000333,E,XSHE,美的集团,CNY,1783076035,80489274,81228166,312300,21300,28800,8435224,1791511259
13,2016-09-29,000333.XSHE,000333,E,XSHE,美的集团,CNY,1783814927,30545781,48627364,319800,12900,13200,8474700,1792289627
14,2016-09-28,000333.XSHE,000333,E,XSHE,美的集团,CNY,1801896510,47607226,84320396,320100,13700,15700,8383420,1810279930
15,2016-09-27,000333.XSHE,000333,E,XSHE,美的集团,CNY,1838609680,47145159,40374407,322100,25100,41800,8426136,1847035816
16,2016-09-26,000333.XSHE,000333,E,XSHE,美的集团,CNY,1831838928,21980198,39843047,338800,4000,6100,8815576,1840654504
17,2016-09-23,000333.XSHE,000333,E,XSHE,美的集团,CNY,1849701777,26433540,42872553,340900,7100,21600,8952034,1858653811
18,2016-09-22,000333.XSHE,000333,E,XSHE,美的集团,CNY,1866140790,36500817,30577646,355400,34400,325641,9293711,1875434501
19,2016-09-21,000333.XSHE,000333,E,XSHE,美的集团,CNY,1860217619,21360059,25130667,646641,13100,11500,16793268,1877010887
20,2016-09-20,000333.XSHE,000333,E,XSHE,美的集团,CNY,1863988227,14154356,23837863,645041,24100,73540,16713013,1880701240
21,2016-09-19,000333.XSHE,000333,E,XSHE,美的集团,CNY,1873671734,42862262,55436057,694481,125000,31100,18056506,1891728240
22,2016-09-14,000333.XSHE,000333,E,XSHE,美的集团,CNY,1886245529,80217337,81787746,600581,21300,84000,15254757,1901500286
